sample,run,file1,file2
ERS1142690,ERR1756534,ERR1756534_1.fastq,ERR1756534_2.fastq
ERS1142691,ERR1756535,ERR1756535_1.fastq,ERR1756535_2.fastq
ERS1142692,ERR1671599,ERR1671599_1.fastq,ERR1671599_2.fastq
ERS1142693,ERR1671600,ERR1671600_1.fastq,ERR1671600_2.fastq
ERS1142694,ERR1671601,ERR1671601_1.fastq,ERR1671601_2.fastq
ERS1142695,ERR1671602,ERR1671602_1.fastq,ERR1671602_2.fastq
ERS1142696,ERR1671603,ERR1671603_1.fastq,ERR1671603_2.fastq
ERS1142697,ERR1671604,ERR1671604_1.fastq,ERR1671604_2.fastq
ERS1142698,ERR1671605,ERR1671605_1.fastq,ERR1671605_2.fastq
ERS1142699,ERR1671606,ERR1671606_1.fastq,ERR1671606_2.fastq
ERS1142700,ERR1671607,ERR1671607_1.fastq,ERR1671607_2.fastq
ERS1142701,ERR1671608,ERR1671608_1.fastq,ERR1671608_2.fastq
ERS1142702,ERR1671609,ERR1671609_1.fastq,ERR1671609_2.fastq
ERS1142703,ERR1671610,ERR1671610_1.fastq,ERR1671610_2.fastq
ERS1142704,ERR1671611,ERR1671611_1.fastq,ERR1671611_2.fastq
ERS1142705,ERR1671612,ERR1671612_1.fastq,ERR1671612_2.fastq
ERS1142706,ERR1756536,ERR1756536_1.fastq,ERR1756536_2.fastq
ERS1142707,ERR1671613,ERR1671613_1.fastq,ERR1671613_2.fastq
ERS1142708,ERR1756537,ERR1756537_1.fastq,ERR1756537_2.fastq
ERS1142709,ERR1671614,ERR1671614_1.fastq,ERR1671614_2.fastq
ERS1142710,ERR1756538,ERR1756538_1.fastq,ERR1756538_2.fastq
ERS1142711,ERR1671615,ERR1671615_1.fastq,ERR1671615_2.fastq
ERS1142712,ERR1671616,ERR1671616_1.fastq,ERR1671616_2.fastq
ERS1142713,ERR1671617,ERR1671617_1.fastq,ERR1671617_2.fastq
ERS1142714,ERR1671618,ERR1671618_1.fastq,ERR1671618_2.fastq
ERS1142715,ERR1756539,ERR1756539_1.fastq,ERR1756539_2.fastq
ERS1142716,ERR1671619,ERR1671619_1.fastq,ERR1671619_2.fastq
ERS1142717,ERR1671620,ERR1671620_1.fastq,ERR1671620_2.fastq
ERS1142718,ERR1671621,ERR1671621_1.fastq,ERR1671621_2.fastq
ERS1142719,ERR1671622,ERR1671622_1.fastq,ERR1671622_2.fastq
ERS1142720,ERR1671623,ERR1671623_1.fastq,ERR1671623_2.fastq
ERS1142721,ERR1671624,ERR1671624_1.fastq,ERR1671624_2.fastq
ERS1142722,ERR1671625,ERR1671625_1.fastq,ERR1671625_2.fastq
ERS1142723,ERR1671626,ERR1671626_1.fastq,ERR1671626_2.fastq
ERS1142724,ERR1671627,ERR1671627_1.fastq,ERR1671627_2.fastq
ERS1142725,ERR1671628,ERR1671628_1.fastq,ERR1671628_2.fastq
ERS1142726,ERR1671629,ERR1671629_1.fastq,ERR1671629_2.fastq
ERS1142727,ERR1671630,ERR1671630_1.fastq,ERR1671630_2.fastq
ERS1142728,ERR1671631,ERR1671631_1.fastq,ERR1671631_2.fastq
ERS1142729,ERR1671632,ERR1671632_1.fastq,ERR1671632_2.fastq
ERS1142730,ERR1671633,ERR1671633_1.fastq,ERR1671633_2.fastq
ERS1142731,ERR1671634,ERR1671634_1.fastq,ERR1671634_2.fastq
ERS1142732,ERR1671635,ERR1671635_1.fastq,ERR1671635_2.fastq
ERS1142733,ERR1671636,ERR1671636_1.fastq,ERR1671636_2.fastq
ERS1142734,ERR1671637,ERR1671637_1.fastq,ERR1671637_2.fastq
ERS1142735,ERR1756540,ERR1756540_1.fastq,ERR1756540_2.fastq
ERS1142736,ERR1756541,ERR1756541_1.fastq,ERR1756541_2.fastq
