sample,lineage,strain,name,Species ID from mash anlaysis,VNI_subdivision,source,Study,HIV status,SRA_Accession,Country_of_origin,Continent of Origin,Year of Origin,Mean depth of mapping with MQ > 30 across whole genome,Proportion of genome covered by at least 5 reads which mapped with MQ > 30
ERS2541303,VNI,04CN-03-001,04CN-03-001,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR2624232,Vietnam,Asia,2013.0,33.7189719,0.989580171
ERS2541302,VNI,04CN-03-002,04CN-03-002,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624486,Vietnam,Asia,2013.0,45.67383553,0.987501425
ERS2541293,VNI,04CN-03-003,04CN-03-003,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624426,Vietnam,Asia,2013.0,41.32455833,0.984590015
ERS2541301,VNI,04CN-03-004,04CN-03-004,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624478,Vietnam,Asia,2013.0,35.96271342,0.98443931
ERS2541292,VNI,04CN-03-006,04CN-03-006,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624325,Vietnam,Asia,2013.0,52.00684303,0.986301553
ERS2540976,VNI,04CN-03-008,04CN-03-008,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624146,Vietnam,Asia,2013.0,46.87759566,0.984965269
ERS2541326,VNI,04CN-03-009,04CN-03-009,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR2624169,Vietnam,Asia,2013.0,51.42603577,0.991281652
ERS2541116,VNI,04CN-03-011,04CN-03-011,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624104,Vietnam,Asia,2013.0,37.67171994,0.985122009
ERS2541111,VNI,04CN-03-012,04CN-03-012,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR2624108,Vietnam,Asia,2013.0,34.75912051,0.990836471
ERS2541099,VNI,04CN-03-013,04CN-03-013,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624313,Vietnam,Asia,2013.0,34.22109276,0.983817697
ERS2541088,VNI,04CN-03-014,04CN-03-014,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR2624121,Vietnam,Asia,2013.0,35.05007683,0.989882428
ERS2541157,VNI,04CN-03-015,04CN-03-015,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624355,Vietnam,Asia,2013.0,80.9273805,0.987420276
ERS2541249,VNI,04CN-03-016,04CN-03-016,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR2624105,Vietnam,Asia,2013.0,49.41777314,0.991538544
ERS2541283,VNI,04CN-03-017,04CN-03-017,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624408,Vietnam,Asia,2013.0,53.32085009,0.987446055
ERS2541164,VNI,04CN-03-020,04CN-03-020,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR2624327,Vietnam,Asia,2013.0,45.07062487,0.991446014
ERS2541154,VNI,04CN-03-021,04CN-03-021,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR2624502,Vietnam,Asia,2013.0,34.64787512,0.989959554
ERS2541334,VNI,04CN-03-022,04CN-03-022,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR2624124,Vietnam,Asia,2013.0,40.36182458,0.990037209
ERS2541115,VNI,04CN-03-024,04CN-03-024,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR2624401,Vietnam,Asia,2013.0,47.27919989,0.991789402
ERS2541171,VNI,04CN-03-028,04CN-03-028,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624298,Vietnam,Asia,2013.0,41.91672299,0.986468509
ERS2541256,VNI,04CN-03-031,04CN-03-031,Cryptococcus neoformans var. grubii H99/Cryptococcus neoformans var. neoformans JEC21 hybrid,,Clinical,Ashton,positive,ERR2624093,Vietnam,Asia,2013.0,45.69373327,0.975470422
ERS2541098,VNI,04CN-03-032,04CN-03-032,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624348,Vietnam,Asia,2013.0,36.51484245,0.986492965
ERS2541270,VNI,04CN-03-036,04CN-03-036,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624474,Vietnam,Asia,2013.0,34.03583257,0.988525023
ERS2541244,VNI,04CN-03-037,04CN-03-037,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624424,Vietnam,Asia,2013.0,44.59353345,0.986487619
ERS2541136,VNI,04CN-03-038,04CN-03-038,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624120,Vietnam,Asia,2013.0,54.25955825,0.988905994
ERS2541212,VNI,04CN-03-039,04CN-03-039,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR2624354,Vietnam,Asia,2013.0,47.52209434,0.991830373
ERS2541275,VNI,04CN-03-040,04CN-03-040,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624443,Vietnam,Asia,2013.0,35.26110193,0.983230757
ERS2541226,VNI,04CN-03-042,04CN-03-042,Cryptococcus neoformans var. grubii H99,VNIa-32,Clinical,Ashton,positive,ERR2624365,Vietnam,Asia,2013.0,46.10854116,0.989784658
ERS2541216,VNI,04CN-03-046,04CN-03-046,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624453,Vietnam,Asia,2013.0,38.56631574,0.983741948
ERS2541331,VNI,04CN-03-047,04CN-03-047,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR2624393,Vietnam,Asia,2013.0,59.44547425,0.992370572
ERS2541184,VNI,04CN-03-049,04CN-03-049,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624258,Vietnam,Asia,2013.0,52.50613675,0.988518512
ERS2541121,VNI,04CN-03-050,04CN-03-050,Cryptococcus neoformans var. grubii H99,VNIa-93,Clinical,Ashton,positive,ERR2624188,Vietnam,Asia,2013.0,36.21157478,0.98685038
ERS2541178,VNI,04CN-03-051,04CN-03-051,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR2624138,Vietnam,Asia,2013.0,42.21628025,0.989483936
ERS2541267,VNI,04CN-03-052,04CN-03-052,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624273,Vietnam,Asia,2013.0,36.35462451,0.985853567
ERS2541138,VNI,04CN-03-053,04CN-03-053,Cryptococcus neoformans var. grubii H99,VNIa-5,Clinical,Ashton,positive,ERR2624176,Vietnam,Asia,2013.0,31.98211129,0.987316153
ERS2541117,VNI,04CN-03-056,04CN-03-056,Cryptococcus neoformans var. grubii H99,VNIa-4,Clinical,Ashton,positive,ERR2624119,Vietnam,Asia,2013.0,35.1724268,0.98552209
