"strain","sample","name","lineage","vni_subdivision","mating_type","country_of_origin","isolation_source","broad_project","sra_accession","strain_description","in_gwas","phenotyped","source","dataset","species_id_from_mash_anlaysis","study","hiv_status","continent_of_origin","year_of_origin","mean_depth_of_mapping_with_mq_._30_across_whole_genome","proportion_of_genome_covered_by_at_least_5_reads_which_mapped_with_mq_._30","run"
"NRHc5005.ENR","SRS881178","NRHc5005.ENR","VNBI","","α","Botswana","Clinical","G84316","SRR1925990, SRR1926071, SRR1944719","Chen et. al 2015 Mol. Ecol.","Yes","Yes","Clinical","Desjardins","","","","",NA,NA,NA,NA
"Ftc202-1","SRS881184","Ftc202-1","VNBI","","α","Botswana","Mopane tree","G84227","SRR1925933, SRR1926009, SRR1942977","Chen et. al 2015 Mol. Ecol.","Yes","Yes","Environment","Desjardins","","","","",NA,NA,NA,NA
"Ftc239-1","SRS881232","Ftc239-1","VNBI","","α","Botswana","Mopane tree","G84238","SRR1926034, SRR1931691, SRR1942979, SRR1944785","Chen et. al 2015 Mol. Ecol.","Yes","Yes","Environment","Desjardins","","","","",NA,NA,NA,NA
"Ftc137-1","SRS885855","Ftc137-1","VNBI","","α","Botswana","Mopane tree","G84214","SRR1942921, SRR1942926, SRR1944803","Chen et. al 2015 Mol. Ecol.","Yes","Yes","Environment","Desjardins","","","","",NA,NA,NA,NA
"NRHc5045.ENR.CLIN.ISO","SRS885893","NRHc5045.ENR.CLIN.ISO","VNBI","","a","Botswana","Clinical","G84357","SRR1943021, SRR1947212, SRR1947255","Chen et. al 2015 Mol. Ecol.","Yes","Yes","Clinical","Desjardins","","","","",NA,NA,NA,NA
"Muc479-1","SRS881243","Muc479-1","VNBI","","α","Botswana","Mopane tree","G84265","SRR1926089, SRR1944710, SRR1944771","Chen et. al 2015 Mol. Ecol.","Yes","Yes","Environment","Desjardins","","","","",NA,NA,NA,NA
"Ftc555-1","SRS881143","Ftc555-1","VNBI","","a","Botswana","Mopane tree","G84272","SRR1925884, SRR1926001, SRR1943020","Chen et. al 2015 Mol. Ecol.","Yes","Yes","Environment","Desjardins","","","","",NA,NA,NA,NA
"PMHc1052.ENR.STOR","SRS881161","PMHc1052.ENR.STOR","VNBII","","a","Botswana","Clinical","G84313","SRR1925900, SRR1925986, SRR1944755","Chen et. al 2015 Mol. Ecol.","Yes","No","Clinical","Desjardins","","","","",NA,NA,NA,NA
"NRHc5044.REL.INI.CLIN.ISO","SRS881156","NRHc5044.REL.INI.CLIN.ISO","VNI","VNIa","α","Botswana","Clinical","G84356","SRR1925894, SRR1926014, SRR1944774","Chen et. al 2015 Mol. Ecol.","No","No","Clinical","Desjardins","","","","",NA,NA,NA,"SRR1925894"
"Muc364-1","SRS881213","Muc364-1","VNBI","","α","Botswana","Mopane tree","G84249","SRR1925996, SRR1926000, SRR1943115, SRR1944735","Chen et. al 2015 Mol. Ecol.","Yes","Yes","Environment","Desjardins","","","","",NA,NA,NA,NA
