sample,strain,name,dataset,run,source,lineage,vni_subdivision
SRS881178,NRHc5005.ENR,NRHc5005.ENR,Desjardins,,Clinical,VNBI,
SRS881184,Ftc202-1,Ftc202-1,Desjardins,,Environment,VNBI,
SRS881232,Ftc239-1,Ftc239-1,Desjardins,,Environment,VNBI,
SRS885855,Ftc137-1,Ftc137-1,Desjardins,,Environment,VNBI,
SRS885893,NRHc5045.ENR.CLIN.ISO,NRHc5045.ENR.CLIN.ISO,Desjardins,,Clinical,VNBI,
SRS881243,Muc479-1,Muc479-1,Desjardins,,Environment,VNBI,
SRS881143,Ftc555-1,Ftc555-1,Desjardins,,Environment,VNBI,
SRS881161,PMHc1052.ENR.STOR,PMHc1052.ENR.STOR,Desjardins,,Clinical,VNBII,
SRS881156,NRHc5044.REL.INI.CLIN.ISO,NRHc5044.REL.INI.CLIN.ISO,Desjardins,SRR1925894,Clinical,VNI,VNIa-Y
SRS881213,Muc364-1,Muc364-1,Desjardins,,Environment,VNBI,
SRS885173,NRHc5004.ENR,NRHc5004.ENR,Desjardins,,Clinical,VNBI,
SRS885889,PMHc1039.ENR.STOR,PMHc1039.ENR.STOR,Desjardins,SRR1943005,Clinical,VNI,VNIa-Y
SRS885168,Ftc170-1,Ftc170-1,Desjardins,,Environment,VNBI,
SRS881185,PMHc1049.THER1.STOR,PMHc1049.THER1.STOR,Desjardins,,Clinical,VNBII,
SRS881149,Muc503-1,Muc503-1,Desjardins,,Environment,VNBI,
SRS881202,Gbc39-1,Gbc39-1,Desjardins,SRR1926079,Environment,VNI,VNIc
SRS881168,Ftc239-2,Ftc239-2,Desjardins,,Environment,VNBI,
SRS881191,Ftc111-1,Ftc111-1,Desjardins,,Environment,VNBI,
SRS881238,PMHc1026.ENR,PMHc1026.ENR,Desjardins,,Clinical,VNBI,
SRS885171,NRHc5008.ENR,NRHc5008.ENR,Desjardins,,Clinical,VNBII,
SRS881162,NRHc5039.ENR.STOR,NRHc5039.ENR.STOR,Desjardins,,Clinical,VNBI,
SRS881205,Muc387-2,Muc387-2,Desjardins,,Environment,VNBII,
SRS881235,Ftc209-3,Ftc209-3,Desjardins,,Environment,VNBI,
SRS885915,Ftc211-1,Ftc211-1,Desjardins,,Environment,VNBI,
SRS881216,PMHc1024.ENR,PMHc1024.ENR,Desjardins,,Clinical,VNBII,
SRS881189,NRHc5014.ENR,NRHc5014.ENR,Desjardins,,Clinical,VNBII,
SRS885892,PMHc1001.ENR,PMHc1001.ENR,Desjardins,,Clinical,VNBI,
SRS881204,Gbc42-1,Gbc42-1,Desjardins,SRR1925987,Environment,VNI,VNIc
SRS881188,Muc504-1,Muc504-1,Desjardins,,Environment,VNBI,
SRS885884,PMHc1040.ENR.STOR,PMHc1040.ENR.STOR,Desjardins,SRR1942988,Clinical,VNI,VNIa-outlier
SRS881236,NRHc5041.ENR.STOR,NRHc5041.ENR.STOR,Desjardins,,Clinical,VNBI,
SRS881228,NRHc5024.ENR.CLIN.1,NRHc5024.ENR.CLIN.1,Desjardins,,Clinical,VNBI,
SRS885843,PMHc1032.ENR,PMHc1032.ENR,Desjardins,SRR1942909,Clinical,VNI,VNIc
SRS881227,Muc437-1,Muc437-1,Desjardins,,Environment,VNBI,
SRS881214,Muc416-4,Muc416-4,Desjardins,,Environment,VNBI,
SRS885170,Gbc16-1,Gbc16-1,Desjardins,SRR1931695,Environment,VNI,VNIc
SRS881222,Ftc146-1,Ftc146-1,Desjardins,,Environment,VNBI,
SRS881183,Muc451-1,Muc451-1,Desjardins,,Environment,VNBI,
SRS885854,Ftc167-1,Ftc167-1,Desjardins,,Environment,VNBI,
SRS881246,Gbc95-1,Gbc95-1,Desjardins,SRR1926059,Environment,VNI,VNIc
SRS881210,PMHc1002.ENR,PMHc1002.ENR,Desjardins,,Clinical,VNBII,
SRS881217,Ftc241-1,Ftc241-1,Desjardins,,Environment,VNBI,
SRS881170,NRHc5036.ENR,NRHc5036.ENR,Desjardins,SRR1925911,Clinical,VNI,VNIa-Y
SRS881226,PMHc1009.ENR,PMHc1009.ENR,Desjardins,,Clinical,VNBII,
SRS881160,NRHc5001.ENR,NRHc5001.ENR,Desjardins,SRR1925902,Clinical,VNI,VNIc
SRS885880,NRHc5042.ENR.STOR,NRHc5042.ENR.STOR,Desjardins,,Clinical,VNBI,
SRS885192,Ftc225-3,Ftc225-3,Desjardins,,Environment,VNBI,
SRS881174,Ftc321-1,Ftc321-1,Desjardins,,Environment,VNBI,
SRS881200,Gbc98-1,Gbc98-1,Desjardins,SRR1925975,Environment,VNI,VNIc
SRS881234,Ftc109-1,Ftc109-1,Desjardins,,Environment,VNBI,
SRS881148,NRHc5013.REL.INI,NRHc5013.REL.INI,Desjardins,,Clinical,VNBI,
SRS881207,NRHc5011.ENR,NRHc5011.ENR,Desjardins,,Clinical,VNBI,
SRS885188,NRHc5022.ENR,NRHc5022.ENR,Desjardins,,Clinical,VNBI,
SRS881229,Ftc321-2,Ftc321-2,Desjardins,,Environment,VNBI,
SRS881206,Ftc327-1,Ftc327-1,Desjardins,,Environment,VNBI,
SRS881166,NRHc5032.ENR.CLIN.ISO,NRHc5032.ENR.CLIN.ISO,Desjardins,,Clinical,VNBI,
SRS881219,Ftc151-1,Ftc151-1,Desjardins,,Environment,VNBI,
SRS885853,Muc418-1,Muc418-1,Desjardins,,Environment,VNBI,
SRS881172,NRHc5026.ENR.CLIN.ISO,NRHc5026.ENR.CLIN.ISO,Desjardins,,Clinical,VNBI,
SRS885863,Ftc222-2,Ftc222-2,Desjardins,,Environment,VNBI,
SRS881245,Ftc134-3,Ftc134-3,Desjardins,,Environment,VNBI,
SRS885916,PMHc1031A.ENR.INI.LP,PMHc1031A.ENR.INI.LP,Desjardins,SRR1943071,Clinical,VNI,VNIc
SRS881196,PMHc1020.CLIN.1,PMHc1020.CLIN.1,Desjardins,SRR1925952,Clinical,VNI,VNIc
SRS885875,NRHc5013.ENR,NRHc5013.ENR,Desjardins,,Clinical,VNBI,
