strain,sample,alias,lineage,vni_subdivision,vnia_subdivision,mating_type,source,country,continent,hiv_status,substrate,dataset,study,date,ploidy,quality_warning,excluded
Ftc555-2,SRS881221,Ftc555-2,VNBI,,,α,Environmental,Botswana,Africa,,Mopane tree,Desjardins,,,NA,NA,NA
Ftc151-1,SRS881219,Ftc151-1,VNBI,,,a,Environmental,Botswana,Africa,,Mopane tree,Desjardins,,,NA,NA,NA
PMHc1052.ENR.STOR,SRS881161,PMHc1052.ENR.STOR,VNBII,,,a,Clinical,Botswana,Africa,,,Desjardins,,,NA,NA,NA
Ftc134-3,SRS881245,Ftc134-3,VNBI,,,α,Environmental,Botswana,Africa,,Mopane tree,Desjardins,,,NA,NA,NA
Ftc173-1,SRS881171,Ftc173-1,VNBI,,,α,Environmental,Botswana,Africa,,Mopane tree,Desjardins,,,NA,NA,NA
NRHc5030.ENR.CLIN.ISO,SRS881140,NRHc5030.ENR.CLIN.ISO,VNBI,,,a,Clinical,Botswana,Africa,,,Desjardins,,,NA,NA,NA
Ftc217-1,SRS885842,Ftc217-1,VNBI,,,α,Environmental,Botswana,Africa,,Mopane tree,Desjardins,,,NA,NA,NA
Ftc241-1,SRS881217,Ftc241-1,VNBI,,,a,Environmental,Botswana,Africa,,Mopane tree,Desjardins,,,NA,NA,NA
Muc516-1,SRS885850,Muc516-1,VNBI,,,α,Environmental,Botswana,Africa,,Mopane tree,Desjardins,,,NA,NA,NA
NRHc5017.ENR,SRS881142,NRHc5017.ENR,VNI,VNIc,,α,Clinical,Botswana,Africa,,,Desjardins,,,NA,NA,NA
Ftc239-2,SRS881168,Ftc239-2,VNBI,,,a,Environmental,Botswana,Africa,,Mopane tree,Desjardins,,,NA,NA,NA
Ftc209-1,SRS881147,Ftc209-1,VNBI,,,α,Environmental,Botswana,Africa,,Mopane tree,Desjardins,,,NA,NA,NA
Ftc327-1,SRS881206,Ftc327-1,VNBI,,,α,Environmental,Botswana,Africa,,Mopane tree,Desjardins,,,NA,NA,NA
PMHc1033.ENR,SRS881159,PMHc1033.ENR,VNBII,,,α,Clinical,Botswana,Africa,,,Desjardins,,,NA,NA,NA
NRHc5011.ENR,SRS881207,NRHc5011.ENR,VNBI,,,α,Clinical,Botswana,Africa,,,Desjardins,,,NA,NA,NA
NRHc5025.ENR.CLIN.1,SRS881237,NRHc5025.ENR.CLIN.1,VNI,VNIa,VNIa-5,α,Clinical,Botswana,Africa,,,Desjardins,,,NA,NA,NA
Ftc202-1,SRS881184,Ftc202-1,VNBI,,,α,Environmental,Botswana,Africa,,Mopane tree,Desjardins,,,NA,NA,NA
NRHc5014.ENR,SRS881189,NRHc5014.ENR,VNBII,,,a,Clinical,Botswana,Africa,,,Desjardins,,,NA,NA,NA
Ftc109-1,SRS881234,Ftc109-1,VNBI,,,α,Environmental,Botswana,Africa,,Mopane tree,Desjardins,,,NA,NA,NA
Muc451-1,SRS881183,Muc451-1,VNBI,,,α,Environmental,Botswana,Africa,,Mopane tree,Desjardins,,,NA,NA,NA
Gbc39-1,SRS881202,Gbc39-1,VNI,VNIc,,α,Environmental,Botswana,Africa,,Acacia tree,Desjardins,,,NA,NA,NA
NRHc5041.ENR.STOR,SRS881236,NRHc5041.ENR.STOR,VNBI,,,α,Clinical,Botswana,Africa,,,Desjardins,,,NA,NA,NA
PMHc1039.ENR.STOR,SRS885889,PMHc1039.ENR.STOR,VNI,VNIa,VNIa-Y,α,Clinical,Botswana,Africa,,,Desjardins,,,NA,NA,NA
Ftc195-1,SRS881218,Ftc195-1,VNBI,,,α,Environmental,Botswana,Africa,,Mopane tree,Desjardins,,,NA,NA,NA
PMHc1030.ENR.CLIN.ISO,SRS881179,PMHc1030.ENR.CLIN.ISO,VNBI,,,α,Clinical,Botswana,Africa,,,Desjardins,,,NA,NA,NA
Ftc211-1,SRS885915,Ftc211-1,VNBI,,,α,Environmental,Botswana,Africa,,Mopane tree,Desjardins,,,NA,NA,NA
Muc463-2,SRS881173,Muc463-2,VNBI,,,α,Environmental,Botswana,Africa,,Mopane tree,Desjardins,,,NA,NA,NA
PMHc1050.ENR.CLIN1,SRS881211,PMHc1050.ENR.CLIN1,VNBI,,,α,Clinical,Botswana,Africa,,,Desjardins,,,NA,NA,NA
Muc437-1,SRS881227,Muc437-1,VNBI,,,α,Environmental,Botswana,Africa,,Mopane tree,Desjardins,,,NA,NA,NA
Muc387-2,SRS881205,Muc387-2,VNBII,,,α,Environmental,Botswana,Africa,,Mopane tree,Desjardins,,,NA,NA,NA
Ftc209-3,SRS881235,Ftc209-3,VNBI,,,a,Environmental,Botswana,Africa,,Mopane tree,Desjardins,,,NA,NA,NA
NRHc5042.ENR.STOR,SRS885880,NRHc5042.ENR.STOR,VNBI,,,α,Clinical,Botswana,Africa,,,Desjardins,,,NA,NA,NA
PMHc1031A.ENR.INI.LP,SRS885916,PMHc1031A.ENR.INI.LP,VNI,VNIc,,α,Clinical,Botswana,Africa,,,Desjardins,,,NA,NA,NA
Ftc267-2,SRS881223,Ftc267-2,VNBI,,,α,Environmental,Botswana,Africa,,Mopane tree,Desjardins,,,NA,NA,NA
Ftc168-1,SRS885878,Ftc168-1,VNBI,,,a,Environmental,Botswana,Africa,,Mopane tree,Desjardins,,,NA,NA,NA
Ftc158-2,SRS885865,Ftc158-2,VNBI,,,a,Environmental,Botswana,Africa,,Avian droppings,Desjardins,,,NA,NA,NA
PMHc1001.ENR,SRS885892,PMHc1001.ENR,VNBI,,,α,Clinical,Botswana,Africa,,,Desjardins,,,NA,NA,NA
Gbc573-1,SRS885169,Gbc573-1,VNBI,,,α,Environmental,Botswana,Africa,,Unknown tree,Desjardins,,,NA,NA,NA
Muc503-1,SRS881149,Muc503-1,VNBI,,,α,Environmental,Botswana,Africa,,Mopane tree,Desjardins,,,NA,NA,NA
Ftc111-1,SRS881191,Ftc111-1,VNBI,,,a,Environmental,Botswana,Africa,,Mopane tree,Desjardins,,,NA,NA,NA
NRHc5026.ENR.CLIN.ISO,SRS881172,NRHc5026.ENR.CLIN.ISO,VNBI,,,α,Clinical,Botswana,Africa,,,Desjardins,,,NA,NA,NA
NRHc5027.ENR.CLIN1,SRS881201,NRHc5027.ENR.CLIN1,VNBI,,,α,Clinical,Botswana,Africa,,,Desjardins,,,NA,NA,NA
NRHc5024A.ENR.CLIN.ISO,SRS885852,NRHc5024A.ENR.CLIN.ISO,VNBI,,,α,Clinical,Botswana,Africa,,,Desjardins,,,NA,NA,NA
Muc504-1,SRS881188,Muc504-1,VNBI,,,α,Environmental,Botswana,Africa,,Mopane tree,Desjardins,,,NA,NA,NA
NRHc5024.ENR.CLIN.1,SRS881228,NRHc5024.ENR.CLIN.1,VNBI,,,α,Clinical,Botswana,Africa,,,Desjardins,,,NA,NA,NA
PMHc1038.ENR.CLIN1,SRS881164,PMHc1038.ENR.CLIN1,VNBI,,,α,Clinical,Botswana,Africa,,,Desjardins,,,NA,NA,NA
NRHc5031.ENR.CLIN.ISO,SRS881225,NRHc5031.ENR.CLIN.ISO,VNBII,,,α,Clinical,Botswana,Africa,,,Desjardins,,,NA,NA,NA
PMHc1020.CLIN.1,SRS881196,PMHc1020.CLIN.1,VNI,VNIc,,α,Clinical,Botswana,Africa,,,Desjardins,,,NA,NA,NA
NRHc5032.ENR.CLIN.ISO,SRS881166,NRHc5032.ENR.CLIN.ISO,VNBI,,,α,Clinical,Botswana,Africa,,,Desjardins,,,NA,NA,NA
NRHc5037.ENR.CLIN1,SRS885176,NRHc5037.ENR.CLIN1,VNBI,,,a,Clinical,Botswana,Africa,,,Desjardins,,,NA,NA,NA
NRHc5023.ENR,SRS885877,NRHc5023.ENR,VNBI,,,α,Clinical,Botswana,Africa,,,Desjardins,,,NA,NA,NA
PMHc1011.ENR,SRS881158,PMHc1011.ENR,VNBI,,,a,Clinical,Botswana,Africa,,,Desjardins,,,NA,NA,NA
Muc418-1,SRS885853,Muc418-1,VNBI,,,α,Environmental,Botswana,Africa,,Mopane tree,Desjardins,,,NA,NA,NA
NRHc5036.ENR,SRS881170,NRHc5036.ENR,VNI,VNIa,VNIa-Y,α,Clinical,Botswana,Africa,,,Desjardins,,,NA,NA,NA
Muc479-1,SRS881243,Muc479-1,VNBI,,,α,Environmental,Botswana,Africa,,Mopane tree,Desjardins,,,NA,NA,NA
Ftc192-1,SRS885857,Ftc192-1,VNBI,,,a,Environmental,Botswana,Africa,,Mopane tree,Desjardins,,,NA,NA,NA
Gbc98-1,SRS881200,Gbc98-1,VNI,VNIc,,α,Environmental,Botswana,Africa,,Unknown tree,Desjardins,,,NA,NA,NA
Gbc16-1,SRS885170,Gbc16-1,VNI,VNIc,,α,Environmental,Botswana,Africa,,Decayed tree,Desjardins,,,NA,NA,NA
NRHc5029.ENR.CLIN.ISO,SRS881151,NRHc5029.ENR.CLIN.ISO,VNBI,,,α,Clinical,Botswana,Africa,,,Desjardins,,,NA,NA,NA
Ftc200-1,SRS881177,Ftc200-1,VNBI,,,α,Environmental,Botswana,Africa,,Mopane tree,Desjardins,,,NA,NA,NA
