sample,run,strain,lineage,vni_subdivision,dataset,source,mating_type,country_of_origin
ERS1142739,ERR1671640,20427_2#42,VNI,VNIa-32,Ashton,Clinical,,Vietnam
ERS2540972,ERR2624485,04CN-64-065,VNI,VNIa-32,Ashton,Clinical,,Uganda
ERS2541156,ERR2624113,BMD915,VNI,VNIa-32,Ashton,Clinical,,Vietnam
ERS542302,ERR842482,14892_1#7,VNI,VNIa-32,Ashton,Clinical,,Vietnam
ERS2541105,ERR2624207,BMD942,VNI,VNIa-32,Ashton,Clinical,,Vietnam
ERS2541198,ERR2624299,BMD2801,VNI,VNIa-32,Ashton,Clinical,,Vietnam
SRS404807,SRR798275,Bt28,VNI,VNIa-32,Desjardins,Clinical,α,Botswana
SRS881208,SRR1926080,PMHc1018.ENR,VNI,VNIa-32,Desjardins,Clinical,α,Botswana
ERS542396,ERR842637,14936_1#5,VNI,VNIa-32,Ashton,Clinical,,Vietnam
ERS2541226,ERR2624365,04CN-03-042,VNI,VNIa-32,Ashton,Clinical,,Vietnam
ERS2541192,ERR2624246,BMD2216,VNI,VNIa-32,Ashton,Clinical,,Vietnam
SRS417642,SRR836892,In2632,VNI,VNIa-32,Desjardins,Clinical,α,India
ERS1142728,ERR1671631,20427_2#33,VNI,VNIa-32,Ashton,Clinical,,Vietnam
ERS542317,ERR842495,14892_1#22,VNI,VNIa-32,Ashton,Clinical,,Vietnam
ERS1142780,ERR1756549,20949_2#16,VNI,VNIa-32,Ashton,Clinical,,Vietnam
ERS1142727,ERR1671630,20427_2#32,VNI,VNIa-32,Ashton,Clinical,,Vietnam
SRS405110,SRR798960,C27,VNI,VNIa-32,Desjardins,Clinical,α,USA
ERS542448,ERR842672,14936_1#57,VNI,VNIa-32,Ashton,Clinical,,Vietnam
ERS2540945,ERR2624432,04CN-65-072,VNI,VNIa-32,Ashton,Clinical,,Uganda
ERS1142700,ERR1671607,20427_2#9,VNI,VNIa-32,Ashton,Clinical,,Vietnam
SRS405126,SRR798738,A4-34-6,VNI,VNIa-32,Desjardins,Environmental,α,USA
ERS2541049,ERR2624145,04CN-65-161,VNI,VNIa-32,Ashton,Clinical,,Uganda
ERS2541305,ERR2624319,04CN-63-036,VNI,VNIa-32,Ashton,Clinical,,Malawi
SRS404503,SRR797785,Bt107,VNI,VNIa-32,Desjardins,Clinical,α,Botswana
ERS2540955,ERR2624249,04CN-63-019,VNI,VNIa-32,Ashton,Clinical,,Malawi
ERS542374,ERR842541,14892_1#78,VNI,VNIa-32,Ashton,Clinical,,Vietnam
ERS1142696,ERR1671603,20427_2#5,VNI,VNIa-32,Ashton,Clinical,,Vietnam
