Gene,Essential,Essentiality Standard Deviation,Essentiality P-value,Essentiality Classification,Mean(Log10(Fluconazole/DMSO frequency)) in Gene Body,P value of Mean Fold Change in Gene Body Compared to Intergenic Inserts,Mean(Log10(Fluconazole/DMSO frequency)) in 5' 300 bases,P value of Mean Fold Change in 5' 300 bases Compared to Intergenic Inserts,Insert sites in Gene Body,Insert sites in 300 bases to 5' of ATG,In Madhani Deletion Collection,Human Ortholog
CNAG_00003,1.50E-05,3.86E-05,0,NESS,0.118670084,0.026892602,0.016356319,0.368086202,31,18,TRUE,FALSE
CNAG_00004,0,0,0,NESS,-0.146469681,0.014706024,0.002274989,0.903837046,44,5,TRUE,FALSE
CNAG_00005,2.30E-05,6.17E-05,0,NESS,-0.050670513,0.838869172,-0.131589108,0.195624478,25,23,TRUE,FALSE
CNAG_00011,2.00E-06,1.41E-05,0,NESS,-0.033080115,0.328886095,-0.005269871,0.430630895,33,47,TRUE,FALSE
CNAG_00013,0.036635,0.011946728,2.48E-159,NESS,0.488781597,0.112044003,-0.108107371,0.60772308,2,7,TRUE,FALSE
CNAG_00015,0.300645,0.072415024,3.42E-48,NESS,0.11861397,0.294017383,-0.177039946,0.061791205,7,27,TRUE,FALSE
CNAG_00023,0.000243,0.001035067,9.81E-268,NESS,0.123959997,0.202191358,0.113872192,0.041365757,14,24,TRUE,FALSE
CNAG_00024,0.002096,0.001465421,1.26E-252,NESS,-0.009024626,0.923324706,-0.035858772,0.943096299,13,10,TRUE,FALSE
CNAG_00025,0,0,0,NESS,0.052415085,0.279167781,-0.087700809,0.245553852,30,28,TRUE,FALSE
CNAG_00027,4.80E-05,8.58E-05,0,NESS,0.100569029,0.014764733,-0.03361485,0.721513951,54,58,TRUE,FALSE
CNAG_00028,0,0,0,NESS,-0.102547346,0.079412013,0.210395069,0.326561982,42,16,TRUE,FALSE
CNAG_00030,0,0,0,NESS,-0.075887043,0.570684871,-0.107975698,0.163849071,42,44,TRUE,FALSE
CNAG_00031,0,0,0,NESS,-0.068733718,0.599360478,0.093864198,0.009851788,85,80,TRUE,FALSE
CNAG_00032,0,0,0,NESS,0.101051002,0.019836571,0.078361576,0.098196593,27,60,TRUE,FALSE
CNAG_00033,0.000521,0.000546669,3.70E-295,NESS,0.00464773,0.415058495,-0.269275985,0.211595926,18,4,TRUE,FALSE
CNAG_00035,0,0,0,NESS,-0.026032253,0.52958301,-0.161236931,0.434432183,50,8,TRUE,FALSE
CNAG_00038,0,0,0,NESS,0.028872769,0.72780861,0.075240838,0.291633926,33,27,TRUE,FALSE
CNAG_00039,0.001995,0.001653608,1.93E-247,NESS,-0.00216979,0.424077436,-0.006964931,0.674347018,17,4,TRUE,FALSE
CNAG_00043,1.00E-06,1.00E-05,0,NESS,-0.135151128,0.090732283,-0.161656168,0.038103033,31,33,TRUE,FALSE
CNAG_00048,0,0,0,NESS,0.024930988,0.147427118,0.040553102,0.453644248,108,14,TRUE,FALSE
CNAG_00049,0,0,0,NESS,-0.049835082,0.721072712,-0.034422433,0.672062441,56,13,TRUE,FALSE
CNAG_00050,0.004196,0.00232917,1.60E-232,NESS,-0.073308559,0.37213823,-0.229488307,0.095592153,31,13,TRUE,FALSE
CNAG_00051,0,0,0,NESS,-0.671661073,2.90E-38,-0.346729658,6.58E-06,96,32,TRUE,FALSE
CNAG_00052,0.122988,0.04321701,1.92E-95,NESS,-0.701494729,0.028911941,-0.216339361,0.012608803,3,39,TRUE,FALSE
CNAG_00053,0.000248,0.000364451,1.29564453272086e-312,NESS,-0.016720797,0.952819044,-0.263997052,0.015395813,19,12,TRUE,FALSE
CNAG_00054,3.00E-05,5.60E-05,0,NESS,-0.016979116,0.626769952,-0.164384124,0.206292808,29,10,TRUE,FALSE
CNAG_00060,0,0,0,NESS,0.104145382,0.038132979,-0.048396374,0.598550034,35,75,TRUE,FALSE
CNAG_00066,2.00E-06,1.41E-05,0,NESS,-0.189940115,3.39E-07,-0.01394175,0.983989804,88,57,TRUE,FALSE
CNAG_00068,7.00E-06,2.56E-05,0,NESS,-0.071862147,0.209224125,NA,NA,48,0,TRUE,FALSE
CNAG_00069,1.00E-06,1.00E-05,0,NESS,-0.028616731,0.580683917,-0.00088525,0.804746426,35,15,TRUE,FALSE
CNAG_00070,0.000236,0.000184511,0,NESS,-0.02723626,0.762573316,-0.045343897,0.605383084,11,17,TRUE,FALSE
CNAG_00074,0,0,0,NESS,0.094847323,0.080041873,0.079806729,0.174673987,40,37,TRUE,FALSE
CNAG_00075,1.30E-05,3.93E-05,0,NESS,0.034925519,0.479484922,0.053111426,0.076732212,25,72,TRUE,FALSE
CNAG_00078,0,0,0,NESS,-0.108599568,0.050661077,-0.087865989,0.232524585,98,21,TRUE,FALSE
CNAG_00079,7.00E-06,2.93E-05,0,NESS,0.00736437,0.635509859,-0.065192266,0.927308688,22,2,TRUE,FALSE
