sample	ploidy
SRS885171	non_haploid
SRS881180	non_haploid
SRS881178	non_haploid
SRS417659	non_haploid
SRS417657	non_haploid
SRS409113	non_haploid
SRS404479	non_haploid
SRS404447	non_haploid
ERS542587	non_haploid
ERS542586	non_haploid
ERS542498	non_haploid
ERS542490	non_haploid
ERS542397	non_haploid
ERS2541388	non_haploid
ERS2541329	non_haploid
ERS2541312	non_haploid
ERS2541291	non_haploid
ERS2541154	non_haploid
ERS2541138	non_haploid
ERS2541044	non_haploid
ERS2541028	non_haploid
ERS2541018	non_haploid
ERS2540996	non_haploid
ERS2540971	non_haploid
ERS2540924	non_haploid
ERS1142865	non_haploid
ERS1142845	non_haploid
ERS1142807	non_haploid
ERS1142758	non_haploid
ERS1142710	non_haploid
ERS1142791	non_haploid
ERS1142866	non_haploid
ERS542440	non_haploid
ERS542306	non_haploid
ERS2541279	non_haploid
ERS2541183	non_haploid
ERS2541062	non_haploid
ERS2541039	non_haploid
ERS1142889	non_haploid
