sample,name,mating_type,country_of_origin_x,isolation_source,broad_project,sra_accession_x,strain_description,in_gwas,phenotyped,source_x,dataset,species_id_from_mash_anlaysis_x,study_x,hiv_status_x,continent_of_origin_x,year_of_origin_x,mean_depth_of_mapping_with_mq_>_30_across_whole_genome_x,proportion_of_genome_covered_by_at_least_5_reads_which_mapped_with_mq_>_30_x,source_y,vni_subdivision,lab_id,species_id_from_mash_anlaysis_y,study_y,hiv_status_y,sra_accession_y,country_of_origin_y,continent_of_origin_y,year_of_origin_y,mean_depth_of_mapping_with_mq_>_30_across_whole_genome_y,proportion_of_genome_covered_by_at_least_5_reads_which_mapped_with_mq_>_30_y,strain,lineage
SRS881178,NRHc5005.ENR,α,Botswana,Clinical,G84316,"SRR1925990, SRR1926071, SRR1944719",Chen et. al 2015 Mol. Ecol.,Yes,Yes,Clinical,Desjardins,,,,,,,,,,,,,,,,,,,,NRHc5005.ENR,VNBI
SRS881184,Ftc202-1,α,Botswana,Mopane tree,G84227,"SRR1925933, SRR1926009, SRR1942977",Chen et. al 2015 Mol. Ecol.,Yes,Yes,Environment,Desjardins,,,,,,,,,,,,,,,,,,,,Ftc202-1,VNBI
SRS881232,Ftc239-1,α,Botswana,Mopane tree,G84238,"SRR1926034, SRR1931691, SRR1942979, SRR1944785",Chen et. al 2015 Mol. Ecol.,Yes,Yes,Environment,Desjardins,,,,,,,,,,,,,,,,,,,,Ftc239-1,VNBI
SRS885855,Ftc137-1,α,Botswana,Mopane tree,G84214,"SRR1942921, SRR1942926, SRR1944803",Chen et. al 2015 Mol. Ecol.,Yes,Yes,Environment,Desjardins,,,,,,,,,,,,,,,,,,,,Ftc137-1,VNBI
SRS885893,NRHc5045.ENR.CLIN.ISO,a,Botswana,Clinical,G84357,"SRR1943021, SRR1947212, SRR1947255",Chen et. al 2015 Mol. Ecol.,Yes,Yes,Clinical,Desjardins,,,,,,,,,,,,,,,,,,,,NRHc5045.ENR.CLIN.ISO,VNBI
SRS881243,Muc479-1,α,Botswana,Mopane tree,G84265,"SRR1926089, SRR1944710, SRR1944771",Chen et. al 2015 Mol. Ecol.,Yes,Yes,Environment,Desjardins,,,,,,,,,,,,,,,,,,,,Muc479-1,VNBI
SRS881143,Ftc555-1,a,Botswana,Mopane tree,G84272,"SRR1925884, SRR1926001, SRR1943020",Chen et. al 2015 Mol. Ecol.,Yes,Yes,Environment,Desjardins,,,,,,,,,,,,,,,,,,,,Ftc555-1,VNBI
SRS881161,PMHc1052.ENR.STOR,a,Botswana,Clinical,G84313,"SRR1925900, SRR1925986, SRR1944755",Chen et. al 2015 Mol. Ecol.,Yes,No,Clinical,Desjardins,,,,,,,,,,,,,,,,,,,,PMHc1052.ENR.STOR,VNBII
SRS881156,NRHc5044.REL.INI.CLIN.ISO,α,Botswana,Clinical,G84356,"SRR1925894, SRR1926014, SRR1944774",Chen et. al 2015 Mol. Ecol.,No,No,Clinical,Desjardins,,,,,,,,Clinical,VNIa-Y,SRR1925894,Cryptococcus neoformans var. grubii H99,Desjardins,positive,SRR1925894,Botswana,Africa,,21.6692,0.962134661,NRHc5044.REL.INI.CLIN.ISO,VNI
SRS881213,Muc364-1,α,Botswana,Mopane tree,G84249,"SRR1925996, SRR1926000, SRR1943115, SRR1944735",Chen et. al 2015 Mol. Ecol.,Yes,Yes,Environment,Desjardins,,,,,,,,,,,,,,,,,,,,Muc364-1,VNBI
SRS885173,NRHc5004.ENR,a,Botswana,Clinical,G84315,"SRR1931703, SRR1944823, SRR1944843",Chen et. al 2015 Mol. Ecol.,Yes,Yes,Clinical,Desjardins,,,,,,,,,,,,,,,,,,,,NRHc5004.ENR,VNBI
SRS885889,PMHc1039.ENR.STOR,α,Botswana,Clinical,G84303,"SRR1943005, SRR1943018, SRR1947209",Chen et. al 2015 Mol. Ecol.,No,No,Clinical,Desjardins,,,,,,,,Clinical,VNIa-Y,SRR1943005,Cryptococcus neoformans var. grubii H99,Desjardins,positive,SRR1943005,Botswana,Africa,,23.6866,0.963251698,PMHc1039.ENR.STOR,VNI
SRS885168,Ftc170-1,a,Botswana,Mopane tree,G84222,"SRR1931688, SRR1944700, SRR1944805",Chen et. al 2015 Mol. Ecol.,Yes,Yes,Environment,Desjardins,,,,,,,,,,,,,,,,,,,,Ftc170-1,VNBI
SRS881185,PMHc1049.THER1.STOR,α,Botswana,Clinical,G84311,"SRR1925935, SRR1944777, SRR1944793",Chen et. al 2015 Mol. Ecol.,Yes,No,Clinical,Desjardins,,,,,,,,,,,,,,,,,,,,PMHc1049.THER1.STOR,VNBII
SRS881149,Muc503-1,α,Botswana,Mopane tree,G84268,"SRR1925887, SRR1943127, SRR1944792",Chen et. al 2015 Mol. Ecol.,Yes,Yes,Environment,Desjardins,,,,,,,,,,,,,,,,,,,,Muc503-1,VNBI
SRS881202,Gbc39-1,α,Botswana,Acacia tree,G84360,"SRR1926079, SRR1942964, SRR1943070",Chen et. al 2015 Mol. Ecol.,No,No,Environment,Desjardins,,,,,,,,Environmental,VNIc,SRR1926079,Cryptococcus neoformans var. grubii H99,Desjardins,,SRR1926079,Botswana,Africa,,19.6536,0.958861261,Gbc39-1,VNI
SRS881168,Ftc239-2,a,Botswana,Mopane tree,G84239,"SRR1943111, SRR1926068, SRR1944783, SRR1944814",Chen et. al 2015 Mol. Ecol.,Yes,Yes,Environment,Desjardins,,,,,,,,,,,,,,,,,,,,Ftc239-2,VNBI
SRS881191,Ftc111-1,a,Botswana,Mopane tree,G84370,"SRR1925955, SRR1942993, SRR1944749",Chen et. al 2015 Mol. Ecol.,Yes,Yes,Environment,Desjardins,,,,,,,,,,,,,,,,,,,,Ftc111-1,VNBI
SRS881238,PMHc1026.ENR,α,Botswana,Clinical,G84293,"SRR1926038, SRR1926046, SRR1944778",Chen et. al 2015 Mol. Ecol.,Yes,Yes,Clinical,Desjardins,,,,,,,,,,,,,,,,,,,,PMHc1026.ENR,VNBI
