SAMN03248077	Gbc573-1	SRS885169
SAMN03248076	Ftc555-2	SRS881221
SAMN03248075	Ftc555-1	SRS881143
SAMN03248074	Muc525-1	SRS885887
SAMN03248073	Muc516-1	SRS885850
SAMN03248072	Muc504-1	SRS881188
SAMN03248071	Muc503-1	SRS881149
SAMN03248070	Muc498-2	SRS885894
SAMN03248069	Muc489-1	SRS881193
SAMN03248068	Muc479-1	SRS881243
SAMN03248067	Muc466-3	SRS881203
SAMN03248066	Muc466-1	SRS881165
SAMN03248065	Muc463-2	SRS881173
SAMN03248064	Muc460-3	SRS885191
SAMN03248063	Muc458-2	SRS881181
SAMN03248062	Muc457-1	SRS881194
SAMN03248061	Muc451-1	SRS881183
SAMN03248060	Muc449-1	SRS885882
SAMN03248059	Muc437-1	SRS881227
SAMN03248058	Muc418-1	SRS885853
SAMN03248057	Muc416-4	SRS881214
SAMN03248056	Muc402-1	SRS881233
SAMN03248055	Muc387-2	SRS881205
SAMN03248054	Muc387-1	SRS885833
SAMN03248053	Muc367-1	SRS885871
SAMN03248052	Muc364-1	SRS881213
SAMN03248051	Ftc327-1	SRS881206
SAMN03248050	Ftc321-3	SRS885167
SAMN03248049	Ftc321-2	SRS881229
SAMN03248048	Ftc321-1	SRS881174
SAMN03248047	Ftc267-2	SRS881223
SAMN03248046	Ftc267-1	SRS881155
SAMN03248044	Ftc257-1	SRS881247
SAMN03248043	Ftc241-1	SRS881217
SAMN03248042	Ftc239-2	SRS881168
SAMN03248041	Ftc239-1	SRS881232
SAMN03248040	Ftc236-1	SRS881224
SAMN03248039	Ftc225-3	SRS885192
SAMN03248038	Ftc225-1	SRS885816
SAMN03248037	Ftc222-2	SRS885863
SAMN03248036	Ftc217-1	SRS885842
SAMN03248035	Ftc214-1	SRS885858
SAMN03248034	Ftc211-1	SRS885915
SAMN03248033	Ftc209-3	SRS881235
SAMN03248032	Ftc209-1	SRS881147
SAMN03248031	Ftc207-1	SRS881215
SAMN03248030	Ftc202-1	SRS881184
SAMN03248029	Ftc200-1	SRS881177
SAMN03248028	Ftc195-1	SRS881218
SAMN03248027	Ftc192-1	SRS885857
SAMN03248026	Ftc173-1	SRS881171
SAMN03248025	Ftc170-1	SRS885168
SAMN03248024	Ftc168-1	SRS885878
SAMN03248023	Ftc167-1	SRS885854
SAMN03248021	Ftc158-2	SRS885865
SAMN03248020	Ftc153-1	SRS881198
SAMN03248019	Ftc151-1	SRS881219
SAMN03248018	Ftc146-1	SRS881222
SAMN03248017	Ftc137-1	SRS885855
SAMN03248016	Ftc134-3	SRS881245
SAMN03248015	Ftc132-1	SRS881150
SAMN03248014	Ftc111-1	SRS881191
SAMN03248013	Ftc109-1	SRS881234
SAMN03248012	Ftc103-1	SRS881175
SAMN03248011	Ftc102-1	SRS881199
SAMN03248010	Gbc98-1	SRS881200
SAMN03248009	Gbc95-1	SRS881246
SAMN03248008	Gbc51-2	SRS881220
SAMN03248007	Gbc44-1	SRS881197
SAMN03248006	Gbc42-1	SRS881204
SAMN03248005	Gbc39-2	SRS885874
SAMN03248004	Gbc39-1	SRS881202
SAMN03248003	Gbc16-1	SRS885170
SAMN03248002	NRHc5048.ENR.ISO	SRS881239
SAMN03248001	NRHc5045.ENR.CLIN.ISO	SRS885893
SAMN03248000	NRHc5044.REL.INI.CLIN.ISO	SRS881156
SAMN03247999	NRHc5042.ENR.STOR	SRS885880
SAMN03247998	NRHc5041.ENR.STOR	SRS881236
SAMN03247997	NRHc5040.ENR.CLIN.ISO	SRS885888
SAMN03247996	NRHc5039.ENR.STOR	SRS881162
SAMN03247994	NRHc5037.ENR.CLIN1	SRS885176
SAMN03247993	NRHc5036.ENR	SRS881170
SAMN03247992	NRHc5035.ENR.CLIN.ISO	SRS881157
SAMN03247989	NRHc5032.ENR.CLIN.ISO	SRS881166
SAMN03247988	NRHc5031.ENR.CLIN.ISO	SRS881225
SAMN03247987	NRHc5030.ENR.CLIN.ISO	SRS881140
SAMN03247986	NRHc5029.ENR.CLIN.ISO	SRS881151
SAMN03247985	NRHc5028.ENR.STOR	SRS885172
SAMN03247984	NRHc5027.ENR.CLIN1	SRS881201
SAMN03247983	NRHc5026.ENR.CLIN.ISO	SRS881172
SAMN03247982	NRHc5025.ENR.CLIN.1	SRS881237
SAMN03247981	NRHc5024A.ENR.CLIN.ISO	SRS885852
SAMN03247980	NRHc5024.ENR.CLIN.1	SRS881228
SAMN03247979	NRHc5023.ENR	SRS885877
SAMN03247978	NRHc5022.ENR	SRS885188
SAMN03247977	NRHc5021.ENR	SRS881240
SAMN03247976	NRHc5020.ENR	SRS885186
SAMN03247975	NRHc5019.ENR	SRS885177
SAMN03247973	NRHc5017.ENR	SRS881142
SAMN03247972	NRHc5015.REL.CLIN.ISO	SRS885879
SAMN03247971	NRHc5015.ENR	SRS881244
SAMN03247970	NRHc5014.ENR	SRS881189
SAMN03247969	NRHc5013.REL.INI	SRS881148
SAMN03247968	NRHc5013.ENR	SRS885875
SAMN03247966	NRHc5011.ENR	SRS881207
SAMN03247965	NRHc5010.ENR	SRS885174
SAMN03247964	NRHc5009.REL.INI	SRS885841
SAMN03247963	NRHc5009.ENR	SRS885851
SAMN03247962	NRHc5008.ENR	SRS885171
SAMN03247960	NRHc5005.ENR	SRS881178
SAMN03247959	NRHc5004.ENR	SRS885173
SAMN03247958	NRHc5001.ENR	SRS881160
SAMN03247957	PMHc1052.ENR.STOR	SRS881161
SAMN03247956	PMHc1050.ENR.CLIN1	SRS881211
SAMN03247955	PMHc1049.THER1.STOR	SRS881185
SAMN03247953	PMHc1047.ENR.CLIN1	SRS885847
SAMN03247950	PMHc1043.ENR.STOR	SRS881169
SAMN03247948	PMHc1040.ENR.STOR	SRS885884
SAMN03247947	PMHc1039.ENR.STOR	SRS885889
SAMN03247946	PMHc1038.ENR.CLIN1	SRS881164
SAMN03247944	PMHc1035.ENR.STOR	SRS881176
SAMN03247943	PMHc1034.ENR.STOR	SRS881152
SAMN03247942	PMHc1033.ENR	SRS881159
SAMN03247941	PMHc1032.ENR	SRS885843
SAMN03247940	PMHc1031A.ENR.INI.LP	SRS885916
SAMN03247939	PMHc1030.ENR.CLIN.ISO	SRS881179
SAMN03247938	PMHc1029.ENR.STOR	SRS881180
SAMN03247937	PMHc1026.ENR	SRS881238
SAMN03247935	PMHc1024.ENR	SRS881216
SAMN03247934	PMHc1023.ENR	SRS881212
