sample,run,file1,file2,file_unpaired
SRS403287,SRR647797,SRR647797_1.fastq.gz,SRR647797_2.fastq.gz,
SRS403287,SRR576587,SRR576587_1.fastq.gz,SRR576587_2.fastq.gz,
SRS403287,SRR642858,SRR642858_1.fastq.gz,SRR642858_2.fastq.gz,
SRS403287,SRR576593,SRR576593_1.fastq.gz,SRR576593_2.fastq.gz,
SRS404442,SRR797787,SRR797787_1.fastq.gz,SRR797787_2.fastq.gz,
SRS404442,SRR799061,SRR799061_1.fastq.gz,SRR799061_2.fastq.gz,
SRS404442,SRR797705,SRR797705_1.fastq.gz,SRR797705_2.fastq.gz,
SRS404443,SRR798125,SRR798125_1.fastq.gz,SRR798125_2.fastq.gz,
SRS404443,SRR823352,SRR823352_1.fastq.gz,SRR823352_2.fastq.gz,
SRS404443,SRR822859,SRR822859_1.fastq.gz,SRR822859_2.fastq.gz,
SRS404443,SRR797706,SRR797706_1.fastq.gz,SRR797706_2.fastq.gz,
SRS404443,SRR798290,SRR798290_1.fastq.gz,SRR798290_2.fastq.gz,
SRS404443,SRR823542,SRR823542_1.fastq.gz,SRR823542_2.fastq.gz,
SRS404444,SRR797707,SRR797707_1.fastq.gz,SRR797707_2.fastq.gz,
SRS404444,SRR798879,SRR798879_1.fastq.gz,SRR798879_2.fastq.gz,
SRS404444,SRR798962,SRR798962_1.fastq.gz,SRR798962_2.fastq.gz,
SRS404447,SRR798914,SRR798914_1.fastq.gz,SRR798914_2.fastq.gz,
SRS404447,SRR798917,SRR798917_1.fastq.gz,SRR798917_2.fastq.gz,
SRS404447,SRR798746,SRR798746_1.fastq.gz,SRR798746_2.fastq.gz,
SRS404447,SRR799038,SRR799038_1.fastq.gz,SRR799038_2.fastq.gz,
SRS404447,SRR797736,SRR797736_1.fastq.gz,SRR797736_2.fastq.gz,
SRS404447,SRR798192,SRR798192_1.fastq.gz,SRR798192_2.fastq.gz,
SRS404448,SRR798886,SRR798886_1.fastq.gz,SRR798886_2.fastq.gz,
SRS404448,SRR822511,SRR822511_1.fastq.gz,SRR822511_2.fastq.gz,
SRS404448,SRR798846,SRR798846_1.fastq.gz,SRR798846_2.fastq.gz,
SRS404448,SRR797747,SRR797747_1.fastq.gz,SRR797747_2.fastq.gz,
SRS404448,SRR798590,SRR798590_1.fastq.gz,SRR798590_2.fastq.gz,
SRS404448,SRR823764,SRR823764_1.fastq.gz,SRR823764_2.fastq.gz,
SRS404448,SRR822510,SRR822510_1.fastq.gz,SRR822510_2.fastq.gz,
SRS404448,SRR797711,SRR797711_1.fastq.gz,SRR797711_2.fastq.gz,
SRS404449,SRR797712,SRR797712_1.fastq.gz,SRR797712_2.fastq.gz,
SRS404449,SRR798980,SRR798980_1.fastq.gz,SRR798980_2.fastq.gz,
SRS404449,SRR798638,SRR798638_1.fastq.gz,SRR798638_2.fastq.gz,
SRS404451,SRR797714,SRR797714_1.fastq.gz,SRR797714_2.fastq.gz,
SRS404451,SRR798193,SRR798193_1.fastq.gz,SRR798193_2.fastq.gz,
SRS404451,SRR798735,SRR798735_1.fastq.gz,SRR798735_2.fastq.gz,
SRS404452,SRR797718,SRR797718_1.fastq.gz,SRR797718_2.fastq.gz,
SRS404452,SRR798582,SRR798582_1.fastq.gz,SRR798582_2.fastq.gz,
SRS404452,SRR798595,SRR798595_1.fastq.gz,SRR798595_2.fastq.gz,
SRS404452,SRR798650,SRR798650_1.fastq.gz,SRR798650_2.fastq.gz,
SRS404452,SRR798755,SRR798755_1.fastq.gz,SRR798755_2.fastq.gz,
SRS404452,SRR823402,SRR823402_1.fastq.gz,SRR823402_2.fastq.gz,
SRS404452,SRR822955,SRR822955_1.fastq.gz,SRR822955_2.fastq.gz,
SRS404452,SRR798139,SRR798139_1.fastq.gz,SRR798139_2.fastq.gz,
SRS404454,SRR797763,SRR797763_1.fastq.gz,SRR797763_2.fastq.gz,
SRS404454,SRR798899,SRR798899_1.fastq.gz,SRR798899_2.fastq.gz,
SRS404454,SRR797720,SRR797720_1.fastq.gz,SRR797720_2.fastq.gz,
SRS404456,SRR798673,SRR798673_1.fastq.gz,SRR798673_2.fastq.gz,
SRS404456,SRR798809,SRR798809_1.fastq.gz,SRR798809_2.fastq.gz,
SRS404456,SRR822386,SRR822386_1.fastq.gz,SRR822386_2.fastq.gz,
SRS404456,SRR798679,SRR798679_1.fastq.gz,SRR798679_2.fastq.gz,
SRS404456,SRR798847,SRR798847_1.fastq.gz,SRR798847_2.fastq.gz,
SRS404456,SRR797737,SRR797737_1.fastq.gz,SRR797737_2.fastq.gz,
SRS404457,SRR798169,SRR798169_1.fastq.gz,SRR798169_2.fastq.gz,
SRS404457,SRR798654,SRR798654_1.fastq.gz,SRR798654_2.fastq.gz,
SRS404457,SRR797723,SRR797723_1.fastq.gz,SRR797723_2.fastq.gz,
SRS404458,SRR798900,SRR798900_1.fastq.gz,SRR798900_2.fastq.gz,
SRS404458,SRR797724,SRR797724_1.fastq.gz,SRR797724_2.fastq.gz,
SRS404458,SRR799096,SRR799096_1.fastq.gz,SRR799096_2.fastq.gz,
SRS404458,SRR798171,SRR798171_1.fastq.gz,SRR798171_2.fastq.gz,
SRS404458,SRR798829,SRR798829_1.fastq.gz,SRR798829_2.fastq.gz,
SRS404458,SRR797803,SRR797803_1.fastq.gz,SRR797803_2.fastq.gz,
SRS404460,SRR797740,SRR797740_1.fastq.gz,SRR797740_2.fastq.gz,
SRS404460,SRR799035,SRR799035_1.fastq.gz,SRR799035_2.fastq.gz,
SRS404460,SRR797773,SRR797773_1.fastq.gz,SRR797773_2.fastq.gz,
SRS404461,SRR797725,SRR797725_1.fastq.gz,SRR797725_2.fastq.gz,
SRS404461,SRR798293,SRR798293_1.fastq.gz,SRR798293_2.fastq.gz,
SRS404461,SRR798213,SRR798213_1.fastq.gz,SRR798213_2.fastq.gz,
SRS404461,SRR798859,SRR798859_1.fastq.gz,SRR798859_2.fastq.gz,
SRS404461,SRR798872,SRR798872_1.fastq.gz,SRR798872_2.fastq.gz,
SRS404461,SRR822899,SRR822899_1.fastq.gz,SRR822899_2.fastq.gz,
SRS404462,SRR798266,SRR798266_1.fastq.gz,SRR798266_2.fastq.gz,
SRS404462,SRR798733,SRR798733_1.fastq.gz,SRR798733_2.fastq.gz,
SRS404462,SRR797727,SRR797727_1.fastq.gz,SRR797727_2.fastq.gz,
SRS404462,SRR823351,SRR823351_1.fastq.gz,SRR823351_2.fastq.gz,
