sample,file1,file2,size
SRS502193,SRR1029545_1.fastq,SRR1029545_2.fastq,1501293360
SRS502193,SRR1029546_1.fastq,SRR1029546_2.fastq,1489306668
SRS502193,SRR1029547_1.fastq,SRR1029547_2.fastq,2510423592
SRS502193,SRR1029548_1.fastq,SRR1029548_2.fastq,2300073588
SRS502193,SRR1029549_1.fastq,SRR1029549_2.fastq,1487336052
SRS502193,SRR1029550_1.fastq,SRR1029550_2.fastq,1515395616
SRS502193,SRR1029551_1.fastq,SRR1029551_2.fastq,1493508468
SRS502193,SRR1029552_1.fastq,SRR1029552_2.fastq,2496092352
SRS502193,SRR1029553_1.fastq,SRR1029553_2.fastq,1503416256
SRS520173,SRR1063253_1.fastq,SRR1063253_2.fastq,2242475088
SRS520173,SRR1063254_1.fastq,SRR1063254_2.fastq,2242770624
SRS520173,SRR1063255_1.fastq,SRR1063255_2.fastq,2253736476
SRS520174,SRR1063256_1.fastq,SRR1063256_2.fastq,2359145256
SRS520174,SRR1063257_1.fastq,SRR1063257_2.fastq,2355964860
SRS520174,SRR1063258_1.fastq,SRR1063258_2.fastq,2371955952
SRS520177,SRR1063262_1.fastq,SRR1063262_2.fastq,10267738028
SRS520177,SRR1063263_1.fastq,SRR1063263_2.fastq,17558891040
SRS520178,SRR1063264_1.fastq,SRR1063264_2.fastq,16565807520
SRS520178,SRR1063265_1.fastq,SRR1063265_2.fastq,11516011912
SRS520179,SRR1063266_1.fastq,SRR1063266_2.fastq,10321163400
SRS520179,SRR1063267_1.fastq,SRR1063267_2.fastq,16961312344
SRS520180,SRR1063268_1.fastq,SRR1063268_2.fastq,17175470288
SRS520180,SRR1063269_1.fastq,SRR1063269_2.fastq,9750666616
SRS520181,SRR1063270_1.fastq,SRR1063270_2.fastq,3277054128
SRS520181,SRR1063271_1.fastq,SRR1063271_2.fastq,1257564144
SRS520181,SRR1063272_1.fastq,SRR1063272_2.fastq,1277388180
SRS520181,SRR1063273_1.fastq,SRR1063273_2.fastq,3370698996
SRS520181,SRR1063274_1.fastq,SRR1063274_2.fastq,1261527372
