lineage,sample,file1,file2,refgenome
VNBI,SRS885169,SRS885169_1.fq.gz,SRS885169_2.fq.gz,VNBI.fasta
VNBI,SRS881221,SRS881221_1.fq.gz,SRS881221_2.fq.gz,VNBI.fasta
VNBI,SRS881143,SRS881143_1.fq.gz,SRS881143_2.fq.gz,VNBI.fasta
VNBI,SRS885887,SRS885887_1.fq.gz,SRS885887_2.fq.gz,VNBI.fasta
VNBI,SRS885850,SRS885850_1.fq.gz,SRS885850_2.fq.gz,VNBI.fasta
VNBI,SRS881188,SRS881188_1.fq.gz,SRS881188_2.fq.gz,VNBI.fasta
VNBI,SRS881149,SRS881149_1.fq.gz,SRS881149_2.fq.gz,VNBI.fasta
VNBI,SRS885894,SRS885894_1.fq.gz,SRS885894_2.fq.gz,VNBI.fasta
VNBI,SRS881193,SRS881193_1.fq.gz,SRS881193_2.fq.gz,VNBI.fasta
VNBI,SRS881243,SRS881243_1.fq.gz,SRS881243_2.fq.gz,VNBI.fasta
VNBI,SRS881203,SRS881203_1.fq.gz,SRS881203_2.fq.gz,VNBI.fasta
VNBI,SRS881165,SRS881165_1.fq.gz,SRS881165_2.fq.gz,VNBI.fasta
VNBI,SRS881173,SRS881173_1.fq.gz,SRS881173_2.fq.gz,VNBI.fasta
VNBI,SRS885191,SRS885191_1.fq.gz,SRS885191_2.fq.gz,VNBI.fasta
VNBI,SRS881181,SRS881181_1.fq.gz,SRS881181_2.fq.gz,VNBI.fasta
VNBI,SRS881194,SRS881194_1.fq.gz,SRS881194_2.fq.gz,VNBI.fasta
VNBI,SRS881183,SRS881183_1.fq.gz,SRS881183_2.fq.gz,VNBI.fasta
VNBI,SRS885882,SRS885882_1.fq.gz,SRS885882_2.fq.gz,VNBI.fasta
VNBI,SRS881227,SRS881227_1.fq.gz,SRS881227_2.fq.gz,VNBI.fasta
VNBI,SRS885853,SRS885853_1.fq.gz,SRS885853_2.fq.gz,VNBI.fasta
VNBI,SRS881214,SRS881214_1.fq.gz,SRS881214_2.fq.gz,VNBI.fasta
VNBI,SRS881233,SRS881233_1.fq.gz,SRS881233_2.fq.gz,VNBI.fasta
VNBI,SRS885871,SRS885871_1.fq.gz,SRS885871_2.fq.gz,VNBI.fasta
VNBI,SRS881213,SRS881213_1.fq.gz,SRS881213_2.fq.gz,VNBI.fasta
VNBI,SRS881206,SRS881206_1.fq.gz,SRS881206_2.fq.gz,VNBI.fasta
VNBI,SRS885167,SRS885167_1.fq.gz,SRS885167_2.fq.gz,VNBI.fasta
VNBI,SRS881229,SRS881229_1.fq.gz,SRS881229_2.fq.gz,VNBI.fasta
VNBI,SRS881174,SRS881174_1.fq.gz,SRS881174_2.fq.gz,VNBI.fasta
VNBI,SRS881223,SRS881223_1.fq.gz,SRS881223_2.fq.gz,VNBI.fasta
VNBI,SRS881155,SRS881155_1.fq.gz,SRS881155_2.fq.gz,VNBI.fasta
VNBI,SRS881247,SRS881247_1.fq.gz,SRS881247_2.fq.gz,VNBI.fasta
VNBI,SRS881217,SRS881217_1.fq.gz,SRS881217_2.fq.gz,VNBI.fasta
VNBI,SRS881168,SRS881168_1.fq.gz,SRS881168_2.fq.gz,VNBI.fasta
VNBI,SRS881232,SRS881232_1.fq.gz,SRS881232_2.fq.gz,VNBI.fasta
VNBI,SRS881224,SRS881224_1.fq.gz,SRS881224_2.fq.gz,VNBI.fasta
VNBI,SRS885192,SRS885192_1.fq.gz,SRS885192_2.fq.gz,VNBI.fasta
VNBI,SRS885816,SRS885816_1.fq.gz,SRS885816_2.fq.gz,VNBI.fasta
VNBI,SRS885863,SRS885863_1.fq.gz,SRS885863_2.fq.gz,VNBI.fasta
VNBI,SRS885842,SRS885842_1.fq.gz,SRS885842_2.fq.gz,VNBI.fasta
VNBI,SRS885858,SRS885858_1.fq.gz,SRS885858_2.fq.gz,VNBI.fasta
VNBI,SRS885915,SRS885915_1.fq.gz,SRS885915_2.fq.gz,VNBI.fasta
VNBI,SRS881235,SRS881235_1.fq.gz,SRS881235_2.fq.gz,VNBI.fasta
VNBI,SRS881147,SRS881147_1.fq.gz,SRS881147_2.fq.gz,VNBI.fasta
VNBI,SRS881215,SRS881215_1.fq.gz,SRS881215_2.fq.gz,VNBI.fasta
VNBI,SRS881184,SRS881184_1.fq.gz,SRS881184_2.fq.gz,VNBI.fasta
VNBI,SRS881177,SRS881177_1.fq.gz,SRS881177_2.fq.gz,VNBI.fasta
VNBI,SRS881218,SRS881218_1.fq.gz,SRS881218_2.fq.gz,VNBI.fasta
VNBI,SRS885857,SRS885857_1.fq.gz,SRS885857_2.fq.gz,VNBI.fasta
VNBI,SRS881171,SRS881171_1.fq.gz,SRS881171_2.fq.gz,VNBI.fasta
VNBI,SRS885168,SRS885168_1.fq.gz,SRS885168_2.fq.gz,VNBI.fasta
VNBI,SRS885878,SRS885878_1.fq.gz,SRS885878_2.fq.gz,VNBI.fasta
VNBI,SRS885854,SRS885854_1.fq.gz,SRS885854_2.fq.gz,VNBI.fasta
VNBI,SRS885865,SRS885865_1.fq.gz,SRS885865_2.fq.gz,VNBI.fasta
VNBI,SRS881198,SRS881198_1.fq.gz,SRS881198_2.fq.gz,VNBI.fasta
VNBI,SRS881219,SRS881219_1.fq.gz,SRS881219_2.fq.gz,VNBI.fasta
VNBI,SRS881222,SRS881222_1.fq.gz,SRS881222_2.fq.gz,VNBI.fasta
VNBI,SRS885855,SRS885855_1.fq.gz,SRS885855_2.fq.gz,VNBI.fasta
VNBI,SRS881245,SRS881245_1.fq.gz,SRS881245_2.fq.gz,VNBI.fasta
VNBI,SRS881150,SRS881150_1.fq.gz,SRS881150_2.fq.gz,VNBI.fasta
VNBI,SRS881191,SRS881191_1.fq.gz,SRS881191_2.fq.gz,VNBI.fasta
VNBI,SRS881234,SRS881234_1.fq.gz,SRS881234_2.fq.gz,VNBI.fasta
VNBI,SRS881175,SRS881175_1.fq.gz,SRS881175_2.fq.gz,VNBI.fasta
VNBI,SRS881199,SRS881199_1.fq.gz,SRS881199_2.fq.gz,VNBI.fasta
VNBI,SRS885893,SRS885893_1.fq.gz,SRS885893_2.fq.gz,VNBI.fasta
VNBI,SRS885880,SRS885880_1.fq.gz,SRS885880_2.fq.gz,VNBI.fasta
VNBI,SRS881236,SRS881236_1.fq.gz,SRS881236_2.fq.gz,VNBI.fasta
VNBI,SRS885888,SRS885888_1.fq.gz,SRS885888_2.fq.gz,VNBI.fasta
VNBI,SRS881162,SRS881162_1.fq.gz,SRS881162_2.fq.gz,VNBI.fasta
VNBI,SRS885176,SRS885176_1.fq.gz,SRS885176_2.fq.gz,VNBI.fasta
VNBI,SRS881157,SRS881157_1.fq.gz,SRS881157_2.fq.gz,VNBI.fasta
VNBI,SRS881166,SRS881166_1.fq.gz,SRS881166_2.fq.gz,VNBI.fasta
VNBI,SRS881140,SRS881140_1.fq.gz,SRS881140_2.fq.gz,VNBI.fasta
VNBI,SRS881151,SRS881151_1.fq.gz,SRS881151_2.fq.gz,VNBI.fasta
VNBI,SRS881201,SRS881201_1.fq.gz,SRS881201_2.fq.gz,VNBI.fasta
VNBI,SRS881172,SRS881172_1.fq.gz,SRS881172_2.fq.gz,VNBI.fasta
VNBI,SRS885852,SRS885852_1.fq.gz,SRS885852_2.fq.gz,VNBI.fasta
VNBI,SRS881228,SRS881228_1.fq.gz,SRS881228_2.fq.gz,VNBI.fasta
VNBI,SRS885877,SRS885877_1.fq.gz,SRS885877_2.fq.gz,VNBI.fasta
VNBI,SRS885188,SRS885188_1.fq.gz,SRS885188_2.fq.gz,VNBI.fasta
VNBI,SRS881240,SRS881240_1.fq.gz,SRS881240_2.fq.gz,VNBI.fasta
VNBI,SRS885186,SRS885186_1.fq.gz,SRS885186_2.fq.gz,VNBI.fasta
VNBI,SRS885177,SRS885177_1.fq.gz,SRS885177_2.fq.gz,VNBI.fasta
VNBI,SRS881148,SRS881148_1.fq.gz,SRS881148_2.fq.gz,VNBI.fasta
VNBI,SRS885875,SRS885875_1.fq.gz,SRS885875_2.fq.gz,VNBI.fasta
VNBI,SRS881207,SRS881207_1.fq.gz,SRS881207_2.fq.gz,VNBI.fasta
VNBI,SRS885841,SRS885841_1.fq.gz,SRS885841_2.fq.gz,VNBI.fasta
VNBI,SRS885851,SRS885851_1.fq.gz,SRS885851_2.fq.gz,VNBI.fasta
VNBI,SRS881178,SRS881178_1.fq.gz,SRS881178_2.fq.gz,VNBI.fasta
VNBI,SRS885173,SRS885173_1.fq.gz,SRS885173_2.fq.gz,VNBI.fasta
VNBI,SRS881211,SRS881211_1.fq.gz,SRS881211_2.fq.gz,VNBI.fasta
VNBI,SRS881164,SRS881164_1.fq.gz,SRS881164_2.fq.gz,VNBI.fasta
VNBI,SRS881179,SRS881179_1.fq.gz,SRS881179_2.fq.gz,VNBI.fasta
VNBI,SRS881238,SRS881238_1.fq.gz,SRS881238_2.fq.gz,VNBI.fasta
VNBI,SRS881242,SRS881242_1.fq.gz,SRS881242_2.fq.gz,VNBI.fasta
VNBI,SRS881158,SRS881158_1.fq.gz,SRS881158_2.fq.gz,VNBI.fasta
VNBI,SRS885892,SRS885892_1.fq.gz,SRS885892_2.fq.gz,VNBI.fasta
VNBI,SRS409112,SRS409112_1.fq.gz,SRS409112_2.fq.gz,VNBI.fasta
VNBI,SRS409066,SRS409066_1.fq.gz,SRS409066_2.fq.gz,VNBI.fasta
VNBI,SRS409483,SRS409483_1.fq.gz,SRS409483_2.fq.gz,VNBI.fasta
VNBI,SRS404469,SRS404469_1.fq.gz,SRS404469_2.fq.gz,VNBI.fasta
VNBI,SRS404506,SRS404506_1.fq.gz,SRS404506_2.fq.gz,VNBI.fasta
VNBI,SRS404514,SRS404514_1.fq.gz,SRS404514_2.fq.gz,VNBI.fasta
VNBI,SRS404735,SRS404735_1.fq.gz,SRS404735_2.fq.gz,VNBI.fasta
VNBI,SRS404741,SRS404741_1.fq.gz,SRS404741_2.fq.gz,VNBI.fasta
VNBI,SRS404800,SRS404800_1.fq.gz,SRS404800_2.fq.gz,VNBI.fasta
VNBI,SRS405120,SRS405120_1.fq.gz,SRS405120_2.fq.gz,VNBI.fasta
VNBI,SRS405123,SRS405123_1.fq.gz,SRS405123_2.fq.gz,VNBI.fasta
VNBI,SRS417618,SRS417618_1.fq.gz,SRS417618_2.fq.gz,VNBI.fasta
VNBI,SRS417619,SRS417619_1.fq.gz,SRS417619_2.fq.gz,VNBI.fasta
VNBI,SRS417624,SRS417624_1.fq.gz,SRS417624_2.fq.gz,VNBI.fasta
VNBI,SRS417635,SRS417635_1.fq.gz,SRS417635_2.fq.gz,VNBI.fasta
VNBI,SRS417647,SRS417647_1.fq.gz,SRS417647_2.fq.gz,VNBI.fasta
VNBI,SRS417658,SRS417658_1.fq.gz,SRS417658_2.fq.gz,VNBI.fasta
VNBI,SRS417655,SRS417655_1.fq.gz,SRS417655_2.fq.gz,VNBI.fasta
VNBI,SRS417659,SRS417659_1.fq.gz,SRS417659_2.fq.gz,VNBI.fasta
VNBI,SRS417661,SRS417661_1.fq.gz,SRS417661_2.fq.gz,VNBI.fasta
VNBI,SRS417665,SRS417665_1.fq.gz,SRS417665_2.fq.gz,VNBI.fasta
VNBI,SRS417667,SRS417667_1.fq.gz,SRS417667_2.fq.gz,VNBI.fasta
VNBI,SRS417668,SRS417668_1.fq.gz,SRS417668_2.fq.gz,VNBI.fasta
VNBI,SRS417669,SRS417669_1.fq.gz,SRS417669_2.fq.gz,VNBI.fasta
VNBI,SRS417675,SRS417675_1.fq.gz,SRS417675_2.fq.gz,VNBI.fasta
VNBI,SRS502193,SRS502193_1.fq.gz,SRS502193_2.fq.gz,VNBI.fasta
VNBII,SRS881205,SRS881205_1.fq.gz,SRS881205_2.fq.gz,VNBII.fasta
VNBII,SRS885833,SRS885833_1.fq.gz,SRS885833_2.fq.gz,VNBII.fasta
VNBII,SRS881225,SRS881225_1.fq.gz,SRS881225_2.fq.gz,VNBII.fasta
VNBII,SRS881189,SRS881189_1.fq.gz,SRS881189_2.fq.gz,VNBII.fasta
VNBII,SRS885171,SRS885171_1.fq.gz,SRS885171_2.fq.gz,VNBII.fasta
VNBII,SRS881161,SRS881161_1.fq.gz,SRS881161_2.fq.gz,VNBII.fasta
VNBII,SRS881185,SRS881185_1.fq.gz,SRS881185_2.fq.gz,VNBII.fasta
VNBII,SRS885847,SRS885847_1.fq.gz,SRS885847_2.fq.gz,VNBII.fasta
VNBII,SRS881176,SRS881176_1.fq.gz,SRS881176_2.fq.gz,VNBII.fasta
VNBII,SRS881159,SRS881159_1.fq.gz,SRS881159_2.fq.gz,VNBII.fasta
VNBII,SRS881180,SRS881180_1.fq.gz,SRS881180_2.fq.gz,VNBII.fasta
VNBII,SRS881216,SRS881216_1.fq.gz,SRS881216_2.fq.gz,VNBII.fasta
VNBII,SRS881226,SRS881226_1.fq.gz,SRS881226_2.fq.gz,VNBII.fasta
VNBII,SRS881210,SRS881210_1.fq.gz,SRS881210_2.fq.gz,VNBII.fasta
VNBII,SRS409061,SRS409061_1.fq.gz,SRS409061_2.fq.gz,VNBII.fasta
VNBII,SRS409075,SRS409075_1.fq.gz,SRS409075_2.fq.gz,VNBII.fasta
VNBII,SRS409065,SRS409065_1.fq.gz,SRS409065_2.fq.gz,VNBII.fasta
VNBII,SRS404448,SRS404448_1.fq.gz,SRS404448_2.fq.gz,VNBII.fasta
VNBII,SRS404458,SRS404458_1.fq.gz,SRS404458_2.fq.gz,VNBII.fasta
VNBII,SRS404461,SRS404461_1.fq.gz,SRS404461_2.fq.gz,VNBII.fasta
VNBII,SRS404463,SRS404463_1.fq.gz,SRS404463_2.fq.gz,VNBII.fasta
VNBII,SRS404467,SRS404467_1.fq.gz,SRS404467_2.fq.gz,VNBII.fasta
VNBII,SRS404468,SRS404468_1.fq.gz,SRS404468_2.fq.gz,VNBII.fasta
VNBII,SRS404472,SRS404472_1.fq.gz,SRS404472_2.fq.gz,VNBII.fasta
VNBII,SRS404473,SRS404473_1.fq.gz,SRS404473_2.fq.gz,VNBII.fasta
VNBII,SRS404477,SRS404477_1.fq.gz,SRS404477_2.fq.gz,VNBII.fasta
VNBII,SRS404484,SRS404484_1.fq.gz,SRS404484_2.fq.gz,VNBII.fasta
VNBII,SRS404495,SRS404495_1.fq.gz,SRS404495_2.fq.gz,VNBII.fasta
VNBII,SRS404499,SRS404499_1.fq.gz,SRS404499_2.fq.gz,VNBII.fasta
VNBII,SRS404739,SRS404739_1.fq.gz,SRS404739_2.fq.gz,VNBII.fasta
VNBII,SRS404743,SRS404743_1.fq.gz,SRS404743_2.fq.gz,VNBII.fasta
VNBII,SRS404746,SRS404746_1.fq.gz,SRS404746_2.fq.gz,VNBII.fasta
VNBII,SRS404750,SRS404750_1.fq.gz,SRS404750_2.fq.gz,VNBII.fasta
VNBII,SRS404755,SRS404755_1.fq.gz,SRS404755_2.fq.gz,VNBII.fasta
VNBII,SRS404765,SRS404765_1.fq.gz,SRS404765_2.fq.gz,VNBII.fasta
VNBII,SRS404778,SRS404778_1.fq.gz,SRS404778_2.fq.gz,VNBII.fasta
VNBII,SRS404779,SRS404779_1.fq.gz,SRS404779_2.fq.gz,VNBII.fasta
VNBII,SRS404781,SRS404781_1.fq.gz,SRS404781_2.fq.gz,VNBII.fasta
VNBII,SRS404784,SRS404784_1.fq.gz,SRS404784_2.fq.gz,VNBII.fasta
VNBII,SRS404789,SRS404789_1.fq.gz,SRS404789_2.fq.gz,VNBII.fasta
VNBII,SRS404808,SRS404808_1.fq.gz,SRS404808_2.fq.gz,VNBII.fasta
VNBII,SRS404805,SRS404805_1.fq.gz,SRS404805_2.fq.gz,VNBII.fasta
VNBII,SRS404810,SRS404810_1.fq.gz,SRS404810_2.fq.gz,VNBII.fasta
VNBII,SRS417605,SRS417605_1.fq.gz,SRS417605_2.fq.gz,VNBII.fasta
VNBII,SRS417606,SRS417606_1.fq.gz,SRS417606_2.fq.gz,VNBII.fasta
VNBII,SRS417607,SRS417607_1.fq.gz,SRS417607_2.fq.gz,VNBII.fasta
VNBII,SRS417609,SRS417609_1.fq.gz,SRS417609_2.fq.gz,VNBII.fasta
VNBII,SRS417611,SRS417611_1.fq.gz,SRS417611_2.fq.gz,VNBII.fasta
VNBII,SRS417612,SRS417612_1.fq.gz,SRS417612_2.fq.gz,VNBII.fasta
VNBII,SRS417615,SRS417615_1.fq.gz,SRS417615_2.fq.gz,VNBII.fasta
VNBII,SRS417616,SRS417616_1.fq.gz,SRS417616_2.fq.gz,VNBII.fasta
VNBII,SRS417620,SRS417620_1.fq.gz,SRS417620_2.fq.gz,VNBII.fasta
VNBII,SRS417622,SRS417622_1.fq.gz,SRS417622_2.fq.gz,VNBII.fasta
VNBII,SRS417625,SRS417625_1.fq.gz,SRS417625_2.fq.gz,VNBII.fasta
VNBII,SRS417636,SRS417636_1.fq.gz,SRS417636_2.fq.gz,VNBII.fasta
VNBII,SRS417639,SRS417639_1.fq.gz,SRS417639_2.fq.gz,VNBII.fasta
VNBII,SRS417644,SRS417644_1.fq.gz,SRS417644_2.fq.gz,VNBII.fasta
VNBII,SRS417650,SRS417650_1.fq.gz,SRS417650_2.fq.gz,VNBII.fasta
VNBII,SRS417651,SRS417651_1.fq.gz,SRS417651_2.fq.gz,VNBII.fasta
VNBII,SRS417652,SRS417652_1.fq.gz,SRS417652_2.fq.gz,VNBII.fasta
VNBII,SRS417653,SRS417653_1.fq.gz,SRS417653_2.fq.gz,VNBII.fasta
VNBII,SRS417654,SRS417654_1.fq.gz,SRS417654_2.fq.gz,VNBII.fasta
VNBII,SRS520130,SRS520130_1.fq.gz,SRS520130_2.fq.gz,VNBII.fasta
VNBII,SRS520181,SRS520181_1.fq.gz,SRS520181_2.fq.gz,VNBII.fasta
VNI,SRS881200,SRS881200_1.fq.gz,SRS881200_2.fq.gz,VNI.fasta
VNI,SRS881246,SRS881246_1.fq.gz,SRS881246_2.fq.gz,VNI.fasta
VNI,SRS881220,SRS881220_1.fq.gz,SRS881220_2.fq.gz,VNI.fasta
VNI,SRS881197,SRS881197_1.fq.gz,SRS881197_2.fq.gz,VNI.fasta
VNI,SRS881204,SRS881204_1.fq.gz,SRS881204_2.fq.gz,VNI.fasta
VNI,SRS885874,SRS885874_1.fq.gz,SRS885874_2.fq.gz,VNI.fasta
VNI,SRS881202,SRS881202_1.fq.gz,SRS881202_2.fq.gz,VNI.fasta
VNI,SRS885170,SRS885170_1.fq.gz,SRS885170_2.fq.gz,VNI.fasta
VNI,SRS881239,SRS881239_1.fq.gz,SRS881239_2.fq.gz,VNI.fasta
VNI,SRS881156,SRS881156_1.fq.gz,SRS881156_2.fq.gz,VNI.fasta
VNI,SRS881170,SRS881170_1.fq.gz,SRS881170_2.fq.gz,VNI.fasta
VNI,SRS885172,SRS885172_1.fq.gz,SRS885172_2.fq.gz,VNI.fasta
VNI,SRS881237,SRS881237_1.fq.gz,SRS881237_2.fq.gz,VNI.fasta
VNI,SRS881142,SRS881142_1.fq.gz,SRS881142_2.fq.gz,VNI.fasta
VNI,SRS885879,SRS885879_1.fq.gz,SRS885879_2.fq.gz,VNI.fasta
VNI,SRS881244,SRS881244_1.fq.gz,SRS881244_2.fq.gz,VNI.fasta
VNI,SRS885174,SRS885174_1.fq.gz,SRS885174_2.fq.gz,VNI.fasta
VNI,SRS881160,SRS881160_1.fq.gz,SRS881160_2.fq.gz,VNI.fasta
VNI,SRS881169,SRS881169_1.fq.gz,SRS881169_2.fq.gz,VNI.fasta
VNI,SRS885884,SRS885884_1.fq.gz,SRS885884_2.fq.gz,VNI.fasta
VNI,SRS885889,SRS885889_1.fq.gz,SRS885889_2.fq.gz,VNI.fasta
VNI,SRS881152,SRS881152_1.fq.gz,SRS881152_2.fq.gz,VNI.fasta
VNI,SRS885843,SRS885843_1.fq.gz,SRS885843_2.fq.gz,VNI.fasta
VNI,SRS885916,SRS885916_1.fq.gz,SRS885916_2.fq.gz,VNI.fasta
VNI,SRS881241,SRS881241_1.fq.gz,SRS881241_2.fq.gz,VNI.fasta
VNI,SRS881196,SRS881196_1.fq.gz,SRS881196_2.fq.gz,VNI.fasta
VNI,SRS881208,SRS881208_1.fq.gz,SRS881208_2.fq.gz,VNI.fasta
VNI,SRS409479,SRS409479_1.fq.gz,SRS409479_2.fq.gz,VNI.fasta
VNI,SRS409058,SRS409058_1.fq.gz,SRS409058_2.fq.gz,VNI.fasta
VNI,SRS409060,SRS409060_1.fq.gz,SRS409060_2.fq.gz,VNI.fasta
VNI,SRS409059,SRS409059_1.fq.gz,SRS409059_2.fq.gz,VNI.fasta
VNI,SRS409482,SRS409482_1.fq.gz,SRS409482_2.fq.gz,VNI.fasta
VNI,SRS409074,SRS409074_1.fq.gz,SRS409074_2.fq.gz,VNI.fasta
VNI,SRS409062,SRS409062_1.fq.gz,SRS409062_2.fq.gz,VNI.fasta
VNI,SRS409076,SRS409076_1.fq.gz,SRS409076_2.fq.gz,VNI.fasta
VNI,SRS409781,SRS409781_1.fq.gz,SRS409781_2.fq.gz,VNI.fasta
VNI,SRS409175,SRS409175_1.fq.gz,SRS409175_2.fq.gz,VNI.fasta
VNI,SRS409478,SRS409478_1.fq.gz,SRS409478_2.fq.gz,VNI.fasta
VNI,SRS403287,SRS403287_1.fq.gz,SRS403287_2.fq.gz,VNI.fasta
VNI,SRS409113,SRS409113_1.fq.gz,SRS409113_2.fq.gz,VNI.fasta
VNI,SRS409063,SRS409063_1.fq.gz,SRS409063_2.fq.gz,VNI.fasta
VNI,SRS523961,SRS523961_1.fq.gz,SRS523961_2.fq.gz,VNI.fasta
VNI,SRS409064,SRS409064_1.fq.gz,SRS409064_2.fq.gz,VNI.fasta
