sample	accession	chrom_mean	chrom_median	global_mean	global_median	global_mode	norm_chrom_mean	norm_chrom_median	norm_global_mean	norm_global_median
SRS404518	CP003820.1	104.02	105.0	111.41	107.0	107	0.97	0.98	1.04	1.0
SRS404518	CP003821.1	119.54	105.0	111.41	107.0	107	1.12	0.98	1.04	1.0
SRS404518	CP003822.1	108.19	106.0	111.41	107.0	107	1.01	0.99	1.04	1.0
SRS404518	CP003823.1	106.23	107.0	111.41	107.0	107	0.99	1.0	1.04	1.0
SRS404518	CP003824.1	104.91	106.0	111.41	107.0	107	0.98	0.99	1.04	1.0
SRS404518	CP003825.1	106.12	107.0	111.41	107.0	107	0.99	1.0	1.04	1.0
SRS404518	CP003826.1	106.33	107.0	111.41	107.0	107	0.99	1.0	1.04	1.0
SRS404518	CP003827.1	105.44	107.0	111.41	107.0	107	0.99	1.0	1.04	1.0
SRS404518	CP003828.1	107.03	108.0	111.41	107.0	107	1.0	1.01	1.04	1.0
SRS404518	CP003829.1	105.43	107.0	111.41	107.0	107	0.99	1.0	1.04	1.0
SRS404518	CP003830.1	104.36	106.0	111.41	107.0	107	0.98	0.99	1.04	1.0
SRS404518	CP003831.1	214.21	216.0	111.41	107.0	107	2.0	2.02	1.04	1.0
SRS404518	CP003832.1	107.28	108.0	111.41	107.0	107	1.0	1.01	1.04	1.0
SRS404518	CP003833.2	106.32	108.0	111.41	107.0	107	0.99	1.01	1.04	1.0
SRS405149	CP091247.1	103.0	104.0	102.78	104.0	104	0.99	1.0	0.99	1.0
SRS405149	CP091248.1	103.16	104.0	102.78	104.0	104	0.99	1.0	0.99	1.0
SRS405149	CP091249.1	103.52	105.0	102.78	104.0	104	1.0	1.01	0.99	1.0
SRS405149	CP091250.1	102.48	104.0	102.78	104.0	104	0.99	1.0	0.99	1.0
SRS405149	CP091251.1	104.35	104.0	102.78	104.0	104	1.0	1.0	0.99	1.0
SRS405149	CP091252.1	103.01	104.0	102.78	104.0	104	0.99	1.0	0.99	1.0
SRS405149	CP091253.1	102.98	104.0	102.78	104.0	104	0.99	1.0	0.99	1.0
SRS405149	CP091254.1	103.15	104.0	102.78	104.0	104	0.99	1.0	0.99	1.0
SRS405149	CP091255.1	101.89	103.0	102.78	104.0	104	0.98	0.99	0.99	1.0
SRS405149	CP091256.1	102.53	104.0	102.78	104.0	104	0.99	1.0	0.99	1.0
SRS405149	CP091257.1	102.86	104.0	102.78	104.0	104	0.99	1.0	0.99	1.0
SRS405149	CP091258.1	101.06	103.0	102.78	104.0	104	0.97	0.99	0.99	1.0
SRS405149	CP091259.1	101.11	103.0	102.78	104.0	104	0.97	0.99	0.99	1.0
SRS405149	CP091260.1	100.96	103.0	102.78	104.0	104	0.97	0.99	0.99	1.0
SRS881184	chr01_Bt22	63.21	62.0	69.38	69.0	69	0.92	0.9	1.01	1.0
SRS881184	chr02_Bt22	61.23	60.0	69.38	69.0	69	0.89	0.87	1.01	1.0
SRS881184	chr03_Bt22	74.11	74.0	69.38	69.0	69	1.07	1.07	1.01	1.0
SRS881184	chr04_Bt22	74.31	74.0	69.38	69.0	69	1.08	1.07	1.01	1.0
SRS881184	chr05_Bt22	65.57	65.0	69.38	69.0	69	0.95	0.94	1.01	1.0
SRS881184	chr06_Bt22	70.6	71.0	69.38	69.0	69	1.02	1.03	1.01	1.0
SRS881184	chr07_Bt22	72.04	72.0	69.38	69.0	69	1.04	1.04	1.01	1.0
SRS881184	chr08_Bt22	70.98	70.0	69.38	69.0	69	1.03	1.01	1.01	1.0
SRS881184	chr09_Bt22	71.92	72.0	69.38	69.0	69	1.04	1.04	1.01	1.0
SRS881184	chr10_Bt22	74.4	75.0	69.38	69.0	69	1.08	1.09	1.01	1.0
SRS881184	chr11_Bt22	65.06	65.0	69.38	69.0	69	0.94	0.94	1.01	1.0
SRS881184	chr12_Bt22	78.8	78.0	69.38	69.0	69	1.14	1.13	1.01	1.0
SRS881184	chr13_Bt22	75.51	77.0	69.38	69.0	69	1.09	1.12	1.01	1.0
SRS881184	chr14_Bt22	74.47	75.0	69.38	69.0	69	1.08	1.09	1.01	1.0
SRS417571	CP091247.1	97.91	98.0	108.9	106.0	106	0.92	0.92	1.03	1.0
SRS417571	CP091248.1	99.81	100.0	108.9	106.0	106	0.94	0.94	1.03	1.0
SRS417571	CP091249.1	101.02	101.0	108.9	106.0	106	0.95	0.95	1.03	1.0
SRS417571	CP091250.1	98.3	98.0	108.9	106.0	106	0.93	0.92	1.03	1.0
SRS417571	CP091251.1	109.54	107.0	108.9	106.0	106	1.03	1.01	1.03	1.0
