sample	accession	chrom_mean	chrom_median	global_mean	global_median	global_mode	norm_chrom_mean	norm_chrom_median	norm_global_mean	norm_global_median
ERS2540938	CP003820.1	44.37	43.0	46.25	45.0	44	1.01	0.98	1.05	1.02
ERS2540938	CP003821.1	54.04	41.0	46.25	45.0	44	1.23	0.93	1.05	1.02
ERS2540938	CP003822.1	45.23	45.0	46.25	45.0	44	1.03	1.02	1.05	1.02
ERS2540938	CP003823.1	45.08	45.0	46.25	45.0	44	1.02	1.02	1.05	1.02
ERS2540938	CP003824.1	44.43	44.0	46.25	45.0	44	1.01	1.0	1.05	1.02
ERS2540938	CP003825.1	45.45	45.0	46.25	45.0	44	1.03	1.02	1.05	1.02
ERS2540938	CP003826.1	45.33	45.0	46.25	45.0	44	1.03	1.02	1.05	1.02
ERS2540938	CP003827.1	45.37	45.0	46.25	45.0	44	1.03	1.02	1.05	1.02
ERS2540938	CP003828.1	46.61	46.0	46.25	45.0	44	1.06	1.05	1.05	1.02
ERS2540938	CP003829.1	47.35	47.0	46.25	45.0	44	1.08	1.07	1.05	1.02
ERS2540938	CP003830.1	44.34	44.0	46.25	45.0	44	1.01	1.0	1.05	1.02
ERS2540938	CP003831.1	48.36	47.0	46.25	45.0	44	1.1	1.07	1.05	1.02
ERS2540938	CP003832.1	47.48	48.0	46.25	45.0	44	1.08	1.09	1.05	1.02
ERS2540938	CP003833.2	46.58	46.0	46.25	45.0	44	1.06	1.05	1.05	1.02
ERS1142815	CP003820.1	46.08	45.0	47.65	45.0	44	1.05	1.02	1.08	1.02
ERS1142815	CP003821.1	55.14	45.0	47.65	45.0	44	1.25	1.02	1.08	1.02
ERS1142815	CP003822.1	44.38	44.0	47.65	45.0	44	1.01	1.0	1.08	1.02
ERS1142815	CP003823.1	43.87	44.0	47.65	45.0	44	1.0	1.0	1.08	1.02
ERS1142815	CP003824.1	44.03	44.0	47.65	45.0	44	1.0	1.0	1.08	1.02
ERS1142815	CP003825.1	44.25	44.0	47.65	45.0	44	1.01	1.0	1.08	1.02
ERS1142815	CP003826.1	44.01	44.0	47.65	45.0	44	1.0	1.0	1.08	1.02
ERS1142815	CP003827.1	44.08	45.0	47.65	45.0	44	1.0	1.02	1.08	1.02
ERS1142815	CP003828.1	82.85	84.0	47.65	45.0	44	1.88	1.91	1.08	1.02
ERS1142815	CP003829.1	44.0	44.0	47.65	45.0	44	1.0	1.0	1.08	1.02
ERS1142815	CP003830.1	44.09	44.0	47.65	45.0	44	1.0	1.0	1.08	1.02
ERS1142815	CP003831.1	45.38	45.0	47.65	45.0	44	1.03	1.02	1.08	1.02
ERS1142815	CP003832.1	43.26	44.0	47.65	45.0	44	0.98	1.0	1.08	1.02
ERS1142815	CP003833.2	42.79	43.0	47.65	45.0	44	0.97	0.98	1.08	1.02
ERS1142836	CP003820.1	51.04	50.0	58.89	58.0	59	0.87	0.85	1.0	0.98
ERS1142836	CP003821.1	61.53	52.0	58.89	58.0	59	1.04	0.88	1.0	0.98
ERS1142836	CP003822.1	57.31	57.0	58.89	58.0	59	0.97	0.97	1.0	0.98
ERS1142836	CP003823.1	61.96	63.0	58.89	58.0	59	1.05	1.07	1.0	0.98
ERS1142836	CP003824.1	54.34	54.0	58.89	58.0	59	0.92	0.92	1.0	0.98
ERS1142836	CP003825.1	60.27	60.0	58.89	58.0	59	1.02	1.02	1.0	0.98
ERS1142836	CP003826.1	60.79	61.0	58.89	58.0	59	1.03	1.03	1.0	0.98
ERS1142836	CP003827.1	55.88	57.0	58.89	58.0	59	0.95	0.97	1.0	0.98
ERS1142836	CP003828.1	59.31	59.0	58.89	58.0	59	1.01	1.0	1.0	0.98
ERS1142836	CP003829.1	64.59	65.0	58.89	58.0	59	1.09	1.1	1.0	0.98
ERS1142836	CP003830.1	56.55	57.0	58.89	58.0	59	0.96	0.97	1.0	0.98
ERS1142836	CP003831.1	68.58	68.0	58.89	58.0	59	1.16	1.15	1.0	0.98
ERS1142836	CP003832.1	65.82	67.0	58.89	58.0	59	1.12	1.14	1.0	0.98
ERS1142836	CP003833.2	64.41	65.0	58.89	58.0	59	1.09	1.1	1.0	0.98
ERS2541232	CP003820.1	41.29	41.0	41.45	41.0	40	1.03	1.02	1.04	1.02
ERS2541232	CP003821.1	46.16	40.0	41.45	41.0	40	1.15	1.0	1.04	1.02
ERS2541232	CP003822.1	41.84	42.0	41.45	41.0	40	1.05	1.05	1.04	1.02
ERS2541232	CP003823.1	39.9	40.0	41.45	41.0	40	1.0	1.0	1.04	1.02
ERS2541232	CP003824.1	41.39	41.0	41.45	41.0	40	1.03	1.02	1.04	1.02
ERS2541232	CP003825.1	41.39	41.0	41.45	41.0	40	1.03	1.02	1.04	1.02
ERS2541232	CP003826.1	41.2	41.0	41.45	41.0	40	1.03	1.02	1.04	1.02
ERS2541232	CP003827.1	40.49	41.0	41.45	41.0	40	1.01	1.02	1.04	1.02
ERS2541232	CP003828.1	40.4	40.0	41.45	41.0	40	1.01	1.0	1.04	1.02
ERS2541232	CP003829.1	41.67	42.0	41.45	41.0	40	1.04	1.05	1.04	1.02
ERS2541232	CP003830.1	40.21	40.0	41.45	41.0	40	1.01	1.0	1.04	1.02
ERS2541232	CP003831.1	41.9	41.0	41.45	41.0	40	1.05	1.02	1.04	1.02
ERS2541232	CP003832.1	41.31	42.0	41.45	41.0	40	1.03	1.05	1.04	1.02
ERS2541232	CP003833.2	39.66	40.0	41.45	41.0	40	0.99	1.0	1.04	1.02
