seq_id	source_tag	primary_tag	start	end	score	strand	frame	copy_num_ID	coverage	description	ebi_biotype	extra_copy_number	gene_ebi_biotype	gene_id	ID	low_identity	matches_ref_protein	missing_start_codon	missing_stop_codon	Name	Note	Parent	partial_mapping	protein_source_id	sequence_ID	valid_ORF	valid_ORFs	inframe_stop_codon	partial_ORF	Loci
CP047906.1	Liftoff	protein_coding_gene	190464	193623	.	1	.	CNAG_06814_0	1.0	Alpha cell-type homeodomain transcription factor	protein_coding	0			CNAG_06814					SXI1alpha					1.0		1.0			MAT
CP047906.1	Liftoff	protein_coding_gene	194324	197005	.	-1	.	CNAG_06813_0	1.0	O-glucosyltransferase, putative	protein_coding	0			CNAG_06813					CAP1alpha					1.0		1.0			MAT
CP047906.1	Liftoff	protein_coding_gene	198088	205543	.	-1	.	CNAG_06812_0	1.0	phospholipase D, variant	protein_coding	0			CNAG_06812					SPO14alpha					1.0		2.0			MAT
CP047906.1	Liftoff	protein_coding_gene	205673	206765	.	1	.	CNAG_06811_0	1.0	large subunit ribosomal protein L22e	protein_coding	0			CNAG_06811					RPL22alpha					1.0		1.0			MAT
CP047906.1	Liftoff	protein_coding_gene	207366	208803	.	1	.	CNAG_06810_0	1.0	hypothetical protein	protein_coding	0			CNAG_06810										1.0		1.0			MAT
CP047906.1	Liftoff	protein_coding_gene	208808	212211	.	-1	.	CNAG_06809_0	1.0	IKS protein kinase	protein_coding	0			CNAG_06809					IKS1					1.0		1.0			MAT
CP047906.1	Liftoff	protein_coding_gene	213000	214604	.	-1	.	CNAG_06808_0	1.0	pheromone a factor receptor	protein_coding	0			CNAG_06808					STE3alpha					1.0		1.0			MAT
CP047906.1	Liftoff	protein_coding_gene	215321	216344	.	-1	.	CNAG_06807_0	1.0	hypothetical protein	protein_coding	0			CNAG_06807										1.0		1.0			MAT
CP047906.1	Liftoff	protein_coding_gene	216832	218673	.	1	.	CNAG_06806_0	1.0	electron transfer flavoprotein alpha subunit	protein_coding	0			CNAG_06806					ETF1alpha					1.0		1.0			MAT
CP047906.1	Liftoff	protein_coding_gene	219294	219834	.	1	.	CNAG_06805_0	1.0	hypothetical protein	protein_coding	0			CNAG_06805										1.0		1.0			MAT
CP047906.1	Liftoff	protein_coding_gene	220614	224358	.	-1	.	CNAG_06804_0	1.0	BTP/PZ domain-containing protein	protein_coding	0			CNAG_06804					BSP3					1.0		2.0			MAT
CP047906.1	Liftoff	protein_coding_gene	227052	227465	.	-1	.	CNAG_07406_0	1.0	pheromone alpha	protein_coding	0			CNAG_07406										1.0		1.0			MAT
CP047906.1	Liftoff	protein_coding_gene	237615	238216	.	1	.	CNAG_07407_0	0.983	fungal mating-type pheromone	protein_coding	0			CNAG_07407					MFalpha3					0.983		1.0			MAT
CP047906.1	Liftoff	protein_coding_gene	238747	245211	.	1	.	CNAG_06971_0	1.0	myosin class v heavy chain	protein_coding	0			CNAG_06971					MYO2alpha					1.0		1.0			MAT
