sample	cnv	accession	n_cnvs	total_size	coverage_percent	span_percent	size_smallest	size_largest	std_regions_size	norm_depth_mean	norm_depth_median	smooth_depth_mean	smooth_depth_median	chrom_depth	chrom_norm_depth	genome_depth	chromosome	length	lineage	chrom_category_aneuploidy	chrom_category_size	strain	source	dataset	vni_subdivision	samples_in_dataset_lineage	samples_in_lineage	samples_in_sublineage	samples_in_lineage_source	total_samples
SRS881221	duplication	chr01	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	44.38	0.9	49.45	chr01	2281270	VNBI	Euploid	Absent	Ftc555-2	Environmental	Desjardins		120	120	198	71	1016
SRS881221	deletion	chr01	6	35770	1.57	87.38	500	9500	3623.92	0.21	0	0.13	0.05	44.38	0.9	49.45	chr01	2281270	VNBI	Euploid	Absent	Ftc555-2	Environmental	Desjardins		120	120	198	71	1016
SRS881221	duplication	chr02	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	43.02	0.87	49.45	chr02	1712483	VNBI	Euploid	Absent	Ftc555-2	Environmental	Desjardins		120	120	198	71	1016
SRS881221	deletion	chr02	4	125983	7.36	100	500	117000	57048.18	0.04	0	0.02	0	43.02	0.87	49.45	chr02	1712483	VNBI	Euploid	Small	Ftc555-2	Environmental	Desjardins		120	120	198	71	1016
SRS881221	duplication	chr03	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	53.43	1.08	49.45	chr03	1067780	VNBI	Euploid	Absent	Ftc555-2	Environmental	Desjardins		120	120	198	71	1016
SRS881221	deletion	chr03	3	32280	3.02	100	1000	16280	8476.6	0.16	0.01	0.12	0	53.43	1.08	49.45	chr03	1067780	VNBI	Euploid	Absent	Ftc555-2	Environmental	Desjardins		120	120	198	71	1016
SRS881221	duplication	chr04	1	500	0.05	0.05	500	500	NA	1.6	1.6	1.63	1.63	54.14	1.09	49.45	chr04	1062799	VNBI	Euploid	Absent	Ftc555-2	Environmental	Desjardins		120	120	198	71	1016
SRS881221	deletion	chr04	3	27799	2.62	100	4799	14000	4606.28	0.03	0	0.01	0	54.14	1.09	49.45	chr04	1062799	VNBI	Euploid	Absent	Ftc555-2	Environmental	Desjardins		120	120	198	71	1016
SRS881221	duplication	chr05	1	9500	0.53	0.53	9500	9500	NA	1.93	2.01	1.96	2.01	45.81	0.93	49.45	chr05	1799688	VNBI	Euploid	Absent	Ftc555-2	Environmental	Desjardins		120	120	198	71	1016
SRS881221	deletion	chr05	3	57188	3.18	100	7500	26500	10149.57	0.3	0.1	0.13	0.1	45.81	0.93	49.45	chr05	1799688	VNBI	Euploid	Absent	Ftc555-2	Environmental	Desjardins		120	120	198	71	1016
SRS881221	duplication	chr06	1	5000	0.34	0.34	5000	5000	NA	1.79	1.8	1.75	1.77	50.2	1.02	49.45	chr06	1465104	VNBI	Euploid	Absent	Ftc555-2	Environmental	Desjardins		120	120	198	71	1016
SRS881221	deletion	chr06	4	58104	3.97	100	7604	24500	7130.97	0.17	0.02	0.07	0.03	50.2	1.02	49.45	chr06	1465104	VNBI	Euploid	Absent	Ftc555-2	Environmental	Desjardins		120	120	198	71	1016
SRS881221	duplication	chr07	2	11000	0.77	57.41	4500	6500	1414.21	2.28	2.52	2.31	2.21	50.98	1.03	49.45	chr07	1432555	VNBI	Euploid	Absent	Ftc555-2	Environmental	Desjardins		120	120	198	71	1016
SRS881221	deletion	chr07	3	74055	5.17	100	2555	62500	32906.92	0.1	0	0.01	0	50.98	1.03	49.45	chr07	1432555	VNBI	Euploid	Small	Ftc555-2	Environmental	Desjardins		120	120	198	71	1016
SRS881221	duplication	chr08	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	48.45	0.98	49.45	chr08	1385770	VNBI	Euploid	Absent	Ftc555-2	Environmental	Desjardins		120	120	198	71	1016
SRS881221	deletion	chr08	6	48270	3.48	100	4000	15270	4285.81	0.09	0	0.09	0	48.45	0.98	49.45	chr08	1385770	VNBI	Euploid	Absent	Ftc555-2	Environmental	Desjardins		120	120	198	71	1016
SRS881221	duplication	chr09	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	52.55	1.06	49.45	chr09	1163630	VNBI	Euploid	Absent	Ftc555-2	Environmental	Desjardins		120	120	198	71	1016
