sample	strain	lineage	accession	chromosome	length	source	vni_subdivision	dataset	samples_in_lineage	samples_in_dataset_lineage	total_samples	norm_chrom_mean	norm_chrom_median	total_cnv_size	n_cnvs	first	last	mean_cnv_depth	median_cnv_depth	repeat_size	dup_coverage_percent	dup_span_size	dup_span_percent	dup_repeat_percent
ERS1142690	20949_2#1	VNI	CP003820.1	chr01	2291499	Clinical	VNIa-4	Ashton	853	668	1055	1	0.98	11000	1	339501	350500	7.12	7.12	0	0.48	10999	0.48	0
ERS1142690	20949_2#1	VNI	CP003821.1	chr02	1621675	Clinical	VNIa-4	Ashton	853	668	1055	1.2	0.96	6500	1	274501	281000	64.92	64.92	3735	0.4	6499	0.4	0.23
ERS1142690	20949_2#1	VNI	CP003822.1	chr03	1575141	Clinical	VNIa-4	Ashton	853	668	1055	0.99	0.98	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142690	20949_2#1	VNI	CP003823.1	chr04	1084805	Clinical	VNIa-4	Ashton	853	668	1055	1	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142690	20949_2#1	VNI	CP003824.1	chr05	1814975	Clinical	VNIa-4	Ashton	853	668	1055	0.97	0.98	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142690	20949_2#1	VNI	CP003825.1	chr06	1422463	Clinical	VNIa-4	Ashton	853	668	1055	1	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142690	20949_2#1	VNI	CP003826.1	chr07	1399503	Clinical	VNIa-4	Ashton	853	668	1055	1	1	4000	1	164001	168000	1.9	1.9	3807	0.29	3999	0.29	0.27
ERS1142690	20949_2#1	VNI	CP003827.1	chr08	1398693	Clinical	VNIa-4	Ashton	853	668	1055	1	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142690	20949_2#1	VNI	CP003828.1	chr09	1186808	Clinical	VNIa-4	Ashton	853	668	1055	1.01	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142690	20949_2#1	VNI	CP003829.1	chr10	1059964	Clinical	VNIa-4	Ashton	853	668	1055	1.01	1.02	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142690	20949_2#1	VNI	CP003830.1	chr11	1561994	Clinical	VNIa-4	Ashton	853	668	1055	0.98	1	4500	1	926001	930500	2.02	2.02	3387	0.29	4499	0.29	0.22
ERS1142690	20949_2#1	VNI	CP003831.1	chr12	774062	Clinical	VNIa-4	Ashton	853	668	1055	1.05	1.04	5000	1	161501	166500	2.71	2.71	2288	0.65	4999	0.65	0.3
ERS1142690	20949_2#1	VNI	CP003832.1	chr13	756744	Clinical	VNIa-4	Ashton	853	668	1055	0.98	1	0	0	NA	NA	NA	NA	NA	0	0	0	NA
ERS1142690	20949_2#1	VNI	CP003833.2	chr14	942867	Clinical	VNIa-4	Ashton	853	668	1055	0.99	1	1867	1	941001	942867	0.47	0.47	1303	0.2	1866	0.2	0.14
ERS1142691	20949_2#2	VNI	CP003820.1	chr01	2291499	Clinical	VNIa-4	Ashton	853	668	1055	1	0.96	21000	3	49001	2262500	3.37	1.63	475	0.92	2213499	96.6	0.02
ERS1142691	20949_2#2	VNI	CP003821.1	chr02	1621675	Clinical	VNIa-4	Ashton	853	668	1055	1.19	0.92	15500	3	2501	1615500	22.26	1.68	3764	0.96	1612999	99.46	0.23
ERS1142691	20949_2#2	VNI	CP003822.1	chr03	1575141	Clinical	VNIa-4	Ashton	853	668	1055	1.02	1	18500	3	11001	1568500	1.65	1.69	1074	1.17	1557499	98.88	0.07
ERS1142691	20949_2#2	VNI	CP003823.1	chr04	1084805	Clinical	VNIa-4	Ashton	853	668	1055	1.09	1.06	27000	5	11001	47000	1.6	1.67	4140	2.49	35999	3.32	0.38
ERS1142691	20949_2#2	VNI	CP003824.1	chr05	1814975	Clinical	VNIa-4	Ashton	853	668	1055	1.01	1	17500	5	21501	1807000	1.55	1.56	2428	0.96	1785499	98.38	0.13
